variant,p05,p50,p95,mean,std,n_runs
V1,22154.875631268384,74063.20800026538,183246.28175006658,103955.5544096756,60798.16193260084,240
V1_20HH,24710.90539232636,68525.22093867684,175481.83234096266,103691.80916888385,59378.22087498488,240
V2,34406.28855466241,103533.07986039625,246787.99828119972,139011.80187869823,76087.82044730768,240
V2_20HH,22565.180093353792,89614.7563201822,222853.0435783671,121685.1372564223,72297.05540885874,240
V3,36508.77487958924,105025.32714421651,245953.5099209654,137850.74969147117,75247.48537711162,240
V4,37465.40028924221,106060.55931092211,246940.68806690062,139170.61070752525,75538.94084537284,240
V5,31234.972648442505,99000.24440281882,231102.82414170704,129594.99556676153,72504.25448852412,240
V6,31727.207182308386,100628.33867160621,231203.15913176042,129492.07311707092,71712.43940492351,240
V7,36267.75657438964,104480.17857671482,247766.63640081958,137690.07281387478,75745.06208045929,240
V8,37991.231491827406,106425.94263317161,250382.41545657715,140735.10494603554,76492.32840411433,240
