variant,building_id,weather_key,sample_id,seed,run_dir,timeseries_csv,n_timesteps,n_zones,peak_heating_kW,peak_heating_datetime,peak_heating_time_s,peak_is_first_timestep,peak_is_first_hour,peak_is_first_day,peak_heating_kW_skip_first_24h,peak_heating_datetime_skip_first_24h,peak_reduction_after_skip_kW,peak_reduction_after_skip_pct
V1,DESHPDHK0000lce9_1,TRY_A,0,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0000\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0000\seed_1\timeseries.csv,8761,1,39.37468359375,2021-11-22 05:00:00,28098000.0,False,False,False,39.37468359375,2021-11-22 05:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,0,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0000\seed_2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0000\seed_2\timeseries.csv,8761,1,39.25697265625,2021-12-21 04:00:00,30600000.0,False,False,False,39.25697265625,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,0,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0000\seed_3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0000\seed_3\timeseries.csv,8761,1,39.3291171875,2021-12-21 05:00:00,30603600.0,False,False,False,39.3291171875,2021-12-21 05:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,0,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0000\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0000\seed_4\timeseries.csv,8761,1,39.953328125,2021-12-21 04:00:00,30600000.0,False,False,False,39.953328125,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,2,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_1\timeseries.csv,8761,1,36.35338671875,2021-11-22 05:00:00,28098000.0,False,False,False,36.35338671875,2021-11-22 05:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,2,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_2\timeseries.csv,8761,1,36.263734375,2021-12-21 04:00:00,30600000.0,False,False,False,36.263734375,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,2,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_3\timeseries.csv,8761,1,36.40828125,2021-12-21 05:00:00,30603600.0,False,False,False,36.40828125,2021-12-21 05:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,2,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_4\timeseries.csv,8761,1,36.9493515625,2021-12-21 04:00:00,30600000.0,False,False,False,36.9493515625,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,3,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0003\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0003\seed_1\timeseries.csv,8761,1,37.9680078125,2021-11-22 05:00:00,28098000.0,False,False,False,37.9680078125,2021-11-22 05:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,3,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0003\seed_2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0003\seed_2\timeseries.csv,8761,1,38.17966796875,2021-12-21 04:00:00,30600000.0,False,False,False,38.17966796875,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,3,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0003\seed_3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0003\seed_3\timeseries.csv,8761,1,38.2118359375,2021-12-21 05:00:00,30603600.0,False,False,False,38.2118359375,2021-12-21 05:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,3,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0003\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0003\seed_4\timeseries.csv,8761,1,38.8341875,2021-12-21 04:00:00,30600000.0,False,False,False,38.8341875,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,7,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0007\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0007\seed_1\timeseries.csv,8761,1,24.8482265625,2021-11-22 02:00:00,28087200.0,False,False,False,24.8482265625,2021-11-22 02:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,7,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0007\seed_2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0007\seed_2\timeseries.csv,8761,1,23.69870703125,2021-01-01 09:00:00,32400.0,False,False,True,23.54944140625,2021-01-02 03:00:00,0.14926562499999818,0.6298471254282816
V1,DESHPDHK0000lce9_1,TRY_A,7,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0007\seed_3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0007\seed_3\timeseries.csv,8761,1,25.1529296875,2021-01-01 09:00:00,32400.0,False,False,True,23.40700390625,2021-01-02 03:00:00,1.7459257812499978,6.941242244706203
V1,DESHPDHK0000lce9_1,TRY_A,7,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0007\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0007\seed_4\timeseries.csv,8761,1,24.298783203125,2021-01-02 03:00:00,97200.0,False,False,False,24.298783203125,2021-01-02 03:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,10,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_1\timeseries.csv,8761,1,39.7614296875,2021-11-22 05:00:00,28098000.0,False,False,False,39.7614296875,2021-11-22 05:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,10,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_2\timeseries.csv,8761,1,39.59037890625,2021-12-21 04:00:00,30600000.0,False,False,False,39.59037890625,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,10,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_3\timeseries.csv,8761,1,39.62794140625,2021-12-21 05:00:00,30603600.0,False,False,False,39.62794140625,2021-12-21 05:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,10,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_4\timeseries.csv,8761,1,40.28909765625,2021-12-21 04:00:00,30600000.0,False,False,False,40.28909765625,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,17,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0017\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0017\seed_1\timeseries.csv,8761,1,38.92333984375,2021-11-22 05:00:00,28098000.0,False,False,False,38.92333984375,2021-11-22 05:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,17,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0017\seed_2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0017\seed_2\timeseries.csv,8761,1,38.93512109375,2021-12-21 04:00:00,30600000.0,False,False,False,38.93512109375,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,17,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0017\seed_3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0017\seed_3\timeseries.csv,8761,1,38.97253515625,2021-12-21 05:00:00,30603600.0,False,False,False,38.97253515625,2021-12-21 05:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,17,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0017\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0017\seed_4\timeseries.csv,8761,1,39.62290234375,2021-12-21 04:00:00,30600000.0,False,False,False,39.62290234375,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,18,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0018\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0018\seed_1\timeseries.csv,8761,1,39.35075,2021-11-22 05:00:00,28098000.0,False,False,False,39.35075,2021-11-22 05:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,18,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0018\seed_2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0018\seed_2\timeseries.csv,8761,1,39.25925390625,2021-12-21 04:00:00,30600000.0,False,False,False,39.25925390625,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,18,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0018\seed_3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0018\seed_3\timeseries.csv,8761,1,39.316171875,2021-12-21 05:00:00,30603600.0,False,False,False,39.316171875,2021-12-21 05:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,18,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0018\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0018\seed_4\timeseries.csv,8761,1,39.95162890625,2021-12-21 04:00:00,30600000.0,False,False,False,39.95162890625,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,20,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0020\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0020\seed_1\timeseries.csv,8761,1,23.9716328125,2021-11-22 02:00:00,28087200.0,False,False,False,23.9716328125,2021-11-22 02:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,20,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0020\seed_2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0020\seed_2\timeseries.csv,8761,1,22.109990234375,2021-11-22 02:00:00,28087200.0,False,False,False,22.109990234375,2021-11-22 02:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,20,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0020\seed_3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0020\seed_3\timeseries.csv,8761,1,22.069494140625,2021-12-28 03:00:00,31201200.0,False,False,False,22.069494140625,2021-12-28 03:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,20,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0020\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0020\seed_4\timeseries.csv,8761,1,23.286873046875,2021-11-22 02:00:00,28087200.0,False,False,False,23.286873046875,2021-11-22 02:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,21,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0021\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0021\seed_1\timeseries.csv,8761,1,40.44948046875,2021-11-22 05:00:00,28098000.0,False,False,False,40.44948046875,2021-11-22 05:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,21,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0021\seed_2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0021\seed_2\timeseries.csv,8761,1,40.14080078125,2021-12-21 04:00:00,30600000.0,False,False,False,40.14080078125,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,21,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0021\seed_3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0021\seed_3\timeseries.csv,8761,1,40.1715625,2021-12-21 04:00:00,30600000.0,False,False,False,40.1715625,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,21,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0021\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0021\seed_4\timeseries.csv,8761,1,40.85898046875,2021-12-21 04:00:00,30600000.0,False,False,False,40.85898046875,2021-12-21 04:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,22,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0022\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0022\seed_1\timeseries.csv,8761,1,24.757568359375,2021-11-22 02:00:00,28087200.0,False,False,False,24.757568359375,2021-11-22 02:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,22,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0022\seed_2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0022\seed_2\timeseries.csv,8761,1,23.55956640625,2021-01-01 09:00:00,32400.0,False,False,True,23.173876953125,2021-01-02 03:00:00,0.3856894531249999,1.6370821367182813
V1,DESHPDHK0000lce9_1,TRY_A,22,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0022\seed_3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0022\seed_3\timeseries.csv,8761,1,25.1273515625,2021-01-01 09:00:00,32400.0,False,False,True,23.017037109375,2021-01-02 03:00:00,2.1103144531249995,8.398475453634468
V1,DESHPDHK0000lce9_1,TRY_A,22,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0022\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0022\seed_4\timeseries.csv,8761,1,24.13290234375,2021-11-22 02:00:00,28087200.0,False,False,False,24.13290234375,2021-11-22 02:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,23,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0023\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0023\seed_1\timeseries.csv,8761,1,40.473921875,2021-11-22 05:00:00,28098000.0,False,False,False,40.473921875,2021-11-22 05:00:00,0.0,0.0
V1,DESHPDHK0000lce9_1,TRY_A,23,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0023\seed_2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0023\seed_2\timeseries.csv,8761,1,40.166078125,2021-12-21 04:00:00,30600000.0,False,False,False,40.166078125,2021-12-21 04:00:00,0.0,0.0
