variant,n_runs,n_first_timestep_peaks,n_first_day_peaks,median_peak_kW,median_peak_skip_kW,median_reduction_pct
V1,240,0,129,47.108669921875,40.131681640625004,1.736276584819135
V1_20HH,240,0,28,44.81271875,38.85741796875,0.0
V2,240,0,128,58.3329169921875,49.299907226562496,8.155466771280201
V2_20HH,240,0,124,56.18393994140625,47.34047778320313,6.501904161096913
V3,240,0,130,56.4475908203125,49.345349609375,7.530918688436264
V4,240,0,130,56.50168627929688,49.30807287597656,6.482946228600056
V5,240,0,125,62.41565136718749,50.498201416015625,9.960774588308974
V6,240,0,125,60.18140759277344,49.80337091064453,8.66224599026255
V7,240,0,132,57.84882409667969,50.44769799804688,9.234905791488522
V8,240,0,130,59.97346673583985,50.70254510498047,10.569100257411044
