base_building_group,sample_id,pair,delta,kpi
DESHPDHK0000lce9,43,V3 - V2,-8.279163147783752,annual_heating_kWh
DESHPDHK0000lce9,39,V3 - V2,-8.245383820250703,annual_heating_kWh
DESHPDHK0000lce9,42,V3 - V2,-13.413750734581233,annual_heating_kWh
DESHPDHK0000lce9,41,V3 - V2,2.699906203241495,annual_heating_kWh
DESHPDHK0000lce9,40,V3 - V2,-0.8804569276572293,annual_heating_kWh
DESHPDHK0000lce9,38,V3 - V2,-12.456363041269972,annual_heating_kWh
DESHPDHK0000lce9,32,V3 - V2,14.532691244652131,annual_heating_kWh
DESHPDHK0000lce9,36,V3 - V2,-7.195323051930441,annual_heating_kWh
DESHPDHK0000lce9,35,V3 - V2,-5.181590113278599,annual_heating_kWh
DESHPDHK0000lce9,34,V3 - V2,-5.8490414393385874,annual_heating_kWh
DESHPDHK0000lce9,33,V3 - V2,-0.42238663193013054,annual_heating_kWh
DESHPDHK0000lce9,44,V3 - V2,2.297311132204297,annual_heating_kWh
DESHPDHK0000lce9,37,V3 - V2,-13.655244520814085,annual_heating_kWh
DESHPDHK0000lce9,45,V3 - V2,-2.2837216368686057,annual_heating_kWh
DESHPDHK0000lce9,59,V3 - V2,-0.2808102924318082,annual_heating_kWh
DESHPDHK0000lce9,47,V3 - V2,5.779302189215668,annual_heating_kWh
DESHPDHK0000lce9,48,V3 - V2,3.0820079321768716,annual_heating_kWh
DESHPDHK0000lce9,49,V3 - V2,-21.967032747981953,annual_heating_kWh
DESHPDHK0000lce9,50,V3 - V2,10.167137968330207,annual_heating_kWh
DESHPDHK0000lce9,51,V3 - V2,-0.8250891232033609,annual_heating_kWh
DESHPDHK0000lce9,52,V3 - V2,2.2647396460263116,annual_heating_kWh
DESHPDHK0000lce9,53,V3 - V2,5.183006840001777,annual_heating_kWh
DESHPDHK0000lce9,54,V3 - V2,-1.560516219879006,annual_heating_kWh
DESHPDHK0000lce9,55,V3 - V2,8.641108728292279,annual_heating_kWh
DESHPDHK0000lce9,56,V3 - V2,0.9769208292335679,annual_heating_kWh
DESHPDHK0000lce9,57,V3 - V2,-13.953525172304305,annual_heating_kWh
DESHPDHK0000lce9,58,V3 - V2,-0.028657529254618567,annual_heating_kWh
DESHPDHK0000lce9,31,V3 - V2,-5.843450265077961,annual_heating_kWh
DESHPDHK0000lce9,46,V3 - V2,9.364148321094632,annual_heating_kWh
DESHPDHK0000lce9,30,V3 - V2,-19.63481834464593,annual_heating_kWh
DESHPDHK0000lce9,29,V3 - V2,-2.752157181414077,annual_heating_kWh
DESHPDHK0000lce9,28,V3 - V2,-1.657827134085441,annual_heating_kWh
DESHPDHK0000lce9,1,V3 - V2,-7.921601561041985,annual_heating_kWh
DESHPDHK0000lce9,2,V3 - V2,2.316356121746838,annual_heating_kWh
DESHPDHK0000lce9,3,V3 - V2,-1.7447319782401027,annual_heating_kWh
DESHPDHK0000lce9,4,V3 - V2,-6.863098707314144,annual_heating_kWh
DESHPDHK0000lce9,5,V3 - V2,-3.4860425969064526,annual_heating_kWh
DESHPDHK0000lce9,6,V3 - V2,-12.557785703545873,annual_heating_kWh
DESHPDHK0000lce9,7,V3 - V2,5.157140516168143,annual_heating_kWh
DESHPDHK0000lce9,8,V3 - V2,20.503452817779444,annual_heating_kWh
DESHPDHK0000lce9,9,V3 - V2,11.483780653413007,annual_heating_kWh
DESHPDHK0000lce9,10,V3 - V2,-0.39521544908756917,annual_heating_kWh
DESHPDHK0000lce9,11,V3 - V2,13.190320726964885,annual_heating_kWh
DESHPDHK0000lce9,12,V3 - V2,-1.9281499547930725,annual_heating_kWh
DESHPDHK0000lce9,13,V3 - V2,11.221236103645497,annual_heating_kWh
DESHPDHK0000lce9,0,V3 - V2,-2.775710469871585,annual_heating_kWh
DESHPDHK0000lce9,15,V3 - V2,-2.034588509048626,annual_heating_kWh
DESHPDHK0000lce9,14,V3 - V2,-7.5516379872667025,annual_heating_kWh
DESHPDHK0000lce9,27,V3 - V2,0.21244163235250743,annual_heating_kWh
DESHPDHK0000lce9,26,V3 - V2,-2.0261116398824086,annual_heating_kWh
DESHPDHK0000lce9,25,V3 - V2,-0.7114666028957581,annual_heating_kWh
DESHPDHK0000lce9,23,V3 - V2,10.206047493461039,annual_heating_kWh
DESHPDHK0000lce9,22,V3 - V2,4.868231894708449,annual_heating_kWh
DESHPDHK0000lce9,24,V3 - V2,-5.500117476675718,annual_heating_kWh
DESHPDHK0000lce9,20,V3 - V2,-2.0785679156616896,annual_heating_kWh
DESHPDHK0000lce9,19,V3 - V2,2.285276783532783,annual_heating_kWh
DESHPDHK0000lce9,18,V3 - V2,-4.727517350803377,annual_heating_kWh
DESHPDHK0000lce9,17,V3 - V2,-6.452032293879355,annual_heating_kWh
DESHPDHK0000lce9,16,V3 - V2,-2.6168387878934154,annual_heating_kWh
DESHPDHK0000lce9,21,V3 - V2,1.641827048923864,annual_heating_kWh
DESHPDHK0000lce9,38,V5 - V3,1.6896567573547945,annual_heating_kWh
DESHPDHK0000lce9,41,V5 - V3,-7.461059059218474,annual_heating_kWh
DESHPDHK0000lce9,40,V5 - V3,-1.250209581226547,annual_heating_kWh
DESHPDHK0000lce9,39,V5 - V3,-16.8464078292162,annual_heating_kWh
DESHPDHK0000lce9,37,V5 - V3,-10.126921681056775,annual_heating_kWh
DESHPDHK0000lce9,31,V5 - V3,-6.703559035617756,annual_heating_kWh
DESHPDHK0000lce9,35,V5 - V3,-2.7465917677951692,annual_heating_kWh
DESHPDHK0000lce9,34,V5 - V3,2.0768373011096846,annual_heating_kWh
DESHPDHK0000lce9,33,V5 - V3,-12.27249589211421,annual_heating_kWh
DESHPDHK0000lce9,32,V5 - V3,3.9667497469281954,annual_heating_kWh
DESHPDHK0000lce9,42,V5 - V3,-0.2815910106554511,annual_heating_kWh
DESHPDHK0000lce9,36,V5 - V3,-4.360487565223113,annual_heating_kWh
DESHPDHK0000lce9,43,V5 - V3,-12.033427061853786,annual_heating_kWh
DESHPDHK0000lce9,50,V5 - V3,-1.206538388292247,annual_heating_kWh
DESHPDHK0000lce9,45,V5 - V3,-6.59028639219825,annual_heating_kWh
DESHPDHK0000lce9,46,V5 - V3,-11.358041088074271,annual_heating_kWh
DESHPDHK0000lce9,47,V5 - V3,-4.092594006275045,annual_heating_kWh
DESHPDHK0000lce9,48,V5 - V3,-8.10891296020383,annual_heating_kWh
DESHPDHK0000lce9,49,V5 - V3,-27.89242384167423,annual_heating_kWh
DESHPDHK0000lce9,51,V5 - V3,-16.623273923067057,annual_heating_kWh
DESHPDHK0000lce9,52,V5 - V3,-4.169479895714118,annual_heating_kWh
DESHPDHK0000lce9,53,V5 - V3,-6.864755917966803,annual_heating_kWh
DESHPDHK0000lce9,54,V5 - V3,-2.4172277398349395,annual_heating_kWh
DESHPDHK0000lce9,55,V5 - V3,-5.129472407738911,annual_heating_kWh
DESHPDHK0000lce9,56,V5 - V3,-8.592531556410918,annual_heating_kWh
DESHPDHK0000lce9,57,V5 - V3,-6.730574886688206,annual_heating_kWh
DESHPDHK0000lce9,30,V5 - V3,-6.1679340283347415,annual_heating_kWh
DESHPDHK0000lce9,44,V5 - V3,-9.901470700602397,annual_heating_kWh
DESHPDHK0000lce9,29,V5 - V3,-16.82935097671507,annual_heating_kWh
DESHPDHK0000lce9,15,V5 - V3,-17.732907789395075,annual_heating_kWh
DESHPDHK0000lce9,27,V5 - V3,-12.767273481093317,annual_heating_kWh
DESHPDHK0000lce9,0,V5 - V3,-0.9910959143019136,annual_heating_kWh
DESHPDHK0000lce9,1,V5 - V3,-1.1097736004076724,annual_heating_kWh
DESHPDHK0000lce9,2,V5 - V3,-5.1319677473509655,annual_heating_kWh
DESHPDHK0000lce9,3,V5 - V3,-8.872396749691806,annual_heating_kWh
DESHPDHK0000lce9,4,V5 - V3,-9.946360637674108,annual_heating_kWh
DESHPDHK0000lce9,5,V5 - V3,-26.159790699397856,annual_heating_kWh
DESHPDHK0000lce9,6,V5 - V3,-16.788287585553334,annual_heating_kWh
DESHPDHK0000lce9,7,V5 - V3,-6.912486607887833,annual_heating_kWh
