kpi,row_variant,col_variant,median_diff,n_pairs
annual_heating_kWh,V2,V2,0.0,60.0
annual_heating_kWh,V2,V3,1.6091716769822233,60.0
annual_heating_kWh,V2,V5,8.593364441314185,60.0
annual_heating_kWh,V3,V2,-1.6091716769822233,60.0
annual_heating_kWh,V3,V3,0.0,60.0
annual_heating_kWh,V3,V5,6.888621262927318,60.0
annual_heating_kWh,V5,V2,-8.593364441314185,60.0
annual_heating_kWh,V5,V3,-6.888621262927318,60.0
annual_heating_kWh,V5,V5,0.0,60.0
peak_heating_kW,V2,V2,0.0,60.0
peak_heating_kW,V2,V3,0.6431592407226532,60.0
peak_heating_kW,V2,V5,-1.7471307525634785,60.0
peak_heating_kW,V3,V2,-0.6431592407226532,60.0
peak_heating_kW,V3,V3,0.0,60.0
peak_heating_kW,V3,V5,-1.6347294921874997,60.0
peak_heating_kW,V5,V2,1.7471307525634785,60.0
peak_heating_kW,V5,V3,1.6347294921874997,60.0
peak_heating_kW,V5,V5,0.0,60.0
overheating_hours_any_zone_gt_26C,V2,V2,0.0,60.0
overheating_hours_any_zone_gt_26C,V2,V3,-105.875,60.0
overheating_hours_any_zone_gt_26C,V2,V5,-515.75,60.0
overheating_hours_any_zone_gt_26C,V3,V2,105.875,60.0
overheating_hours_any_zone_gt_26C,V3,V3,0.0,60.0
overheating_hours_any_zone_gt_26C,V3,V5,-387.875,60.0
overheating_hours_any_zone_gt_26C,V5,V2,515.75,60.0
overheating_hours_any_zone_gt_26C,V5,V3,387.875,60.0
overheating_hours_any_zone_gt_26C,V5,V5,0.0,60.0
mean_interzone_spread_C,V2,V2,0.0,60.0
mean_interzone_spread_C,V2,V3,-0.21842411138357898,60.0
mean_interzone_spread_C,V2,V5,-0.816307848140184,60.0
mean_interzone_spread_C,V3,V2,0.21842411138357898,60.0
mean_interzone_spread_C,V3,V3,0.0,60.0
mean_interzone_spread_C,V3,V5,-0.4943787816751626,60.0
mean_interzone_spread_C,V5,V2,0.816307848140184,60.0
mean_interzone_spread_C,V5,V3,0.4943787816751626,60.0
mean_interzone_spread_C,V5,V5,0.0,60.0
