base_building_group,variant,sample_id,seed,annual_heating_kWh,peak_heating_kW,overheating_hours_any_zone_gt_26C,mean_interzone_spread_C,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_any_zone_gt_26C_mean,overheating_hours_any_zone_gt_26C_std,overheating_hours_any_zone_gt_26C_min,overheating_hours_any_zone_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max
DESHPDHK0000lce9,V2,15,1,82727.27445158557,73.688517578125,281.0,7.596984936431477,82727.27445158557,,82727.27445158557,82727.27445158557,73.688517578125,,73.688517578125,73.688517578125,281.0,,281.0,281.0,7.596984936431477,,7.596984936431477,7.596984936431477
DESHPDHK0000lce9,V2,0,1,93310.48838257192,49.0450654296875,2389.0,3.8725425564335207,93310.48838257192,,93310.48838257192,93310.48838257192,49.0450654296875,,49.0450654296875,49.0450654296875,2389.0,,2389.0,2389.0,3.8725425564335207,,3.8725425564335207,3.8725425564335207
DESHPDHK0000lce9,V2,0,2,90099.16528527193,47.57105712890625,2455.0,4.0271265182085845,90099.16528527193,,90099.16528527193,90099.16528527193,47.57105712890625,,47.57105712890625,47.57105712890625,2455.0,,2455.0,2455.0,4.0271265182085845,,4.0271265182085845,4.0271265182085845
DESHPDHK0000lce9,V2,0,3,89496.98909070033,47.5771025390625,2424.0,4.076634149602555,89496.98909070033,,89496.98909070033,89496.98909070033,47.5771025390625,,47.5771025390625,47.5771025390625,2424.0,,2424.0,2424.0,4.076634149602555,,4.076634149602555,4.076634149602555
DESHPDHK0000lce9,V2,0,4,91648.53828348244,48.58037353515625,2474.0,3.943960140399392,91648.53828348244,,91648.53828348244,91648.53828348244,48.58037353515625,,48.58037353515625,48.58037353515625,2474.0,,2474.0,2474.0,3.943960140399392,,3.943960140399392,3.943960140399392
DESHPDHK0000lce9,V2,2,1,77919.37435718674,45.1078056640625,2434.0,3.5786523086378925,77919.37435718674,,77919.37435718674,77919.37435718674,45.1078056640625,,45.1078056640625,45.1078056640625,2434.0,,2434.0,2434.0,3.5786523086378925,,3.5786523086378925,3.5786523086378925
DESHPDHK0000lce9,V2,2,2,74376.05516851178,44.27235546875,2496.0,3.655577651878265,74376.05516851178,,74376.05516851178,74376.05516851178,44.27235546875,,44.27235546875,44.27235546875,2496.0,,2496.0,2496.0,3.655577651878265,,3.655577651878265,3.655577651878265
DESHPDHK0000lce9,V2,2,3,74483.92717869568,44.3609091796875,2450.0,3.644838550621185,74483.92717869568,,74483.92717869568,74483.92717869568,44.3609091796875,,44.3609091796875,44.3609091796875,2450.0,,2450.0,2450.0,3.644838550621185,,3.644838550621185,3.644838550621185
DESHPDHK0000lce9,V2,2,4,76949.54044988402,45.35338671875,2476.0,3.595577052325069,76949.54044988402,,76949.54044988402,76949.54044988402,45.35338671875,,45.35338671875,45.35338671875,2476.0,,2476.0,2476.0,3.595577052325069,,3.595577052325069,3.595577052325069
DESHPDHK0000lce9,V2,3,1,92888.58923342758,47.45430859375,2163.0,3.7496982483460535,92888.58923342758,,92888.58923342758,92888.58923342758,47.45430859375,,47.45430859375,47.45430859375,2163.0,,2163.0,2163.0,3.7496982483460535,,3.7496982483460535,3.7496982483460535
DESHPDHK0000lce9,V2,3,2,89577.6102969141,45.57526123046875,2261.0,3.922790175525992,89577.6102969141,,89577.6102969141,89577.6102969141,45.57526123046875,,45.57526123046875,45.57526123046875,2261.0,,2261.0,2261.0,3.922790175525992,,3.922790175525992,3.922790175525992
DESHPDHK0000lce9,V2,3,3,89199.94013339281,45.6162265625,2227.0,3.960628381073169,89199.94013339281,,89199.94013339281,89199.94013339281,45.6162265625,,45.6162265625,45.6162265625,2227.0,,2227.0,2227.0,3.960628381073169,,3.960628381073169,3.960628381073169
DESHPDHK0000lce9,V2,3,4,91227.89312751376,46.61948779296875,2257.0,3.804738485708369,91227.89312751376,,91227.89312751376,91227.89312751376,46.61948779296875,,46.61948779296875,46.61948779296875,2257.0,,2257.0,2257.0,3.804738485708369,,3.804738485708369,3.804738485708369
