base_building_group,building_id,variant,sample_id,seed,annual_heating_kWh
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,15,1,82727.27445158557
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,1,1,227729.44838043983
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,15,3,77337.89017461496
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,15,2,78768.50716685037
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,14,4,226252.64117658127
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,13,2,223271.11674867308
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,14,2,223102.8984905652
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,14,1,227676.8142457632
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,13,4,226693.4638642175
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,13,3,223102.6416911497
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,15,4,80237.72456426879
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,14,3,222260.6022186384
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,16,1,219639.8799681903
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,8,2,211289.49542737065
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,19,3,70289.77887898304
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,16,4,218035.7567706439
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,19,1,75298.73396984334
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,19,2,71845.30228401364
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,19,4,73009.76808939624
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,25,1,215139.88236384105
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,25,2,210983.12227182504
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,25,3,209248.51729849688
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,25,4,213858.9749734831
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,27,1,230859.5687497992
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,27,2,226595.51364909505
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,13,1,228089.9877017312
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,16,2,215303.9472594223
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,16,3,214848.2009405884
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,12,4,246776.27025718847
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,12,2,243004.8905618862
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,8,1,215989.20272288693
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,1,4,225149.445262536
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,4,1,252203.38538988208
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,4,2,247869.3698459604
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,4,3,247103.8065182288
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,4,4,250533.52271170495
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,5,1,244869.95677984905
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,5,2,240186.307789482
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,5,3,239345.5318823
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,5,4,242598.4794391787
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,6,1,243306.1244917885
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,6,2,238356.29063279275
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,6,3,237669.13962355183
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,27,4,229219.78418496024
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,1,3,222748.56415509165
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,8,3,212346.88429489947
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,8,4,214118.8878324489
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,9,1,252064.6825017437
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,9,2,247010.83073741363
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,9,3,246426.26351682268
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,9,4,250160.96836297083
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,11,1,207840.59158698932
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,11,2,203181.8906944208
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,11,3,202948.84587057435
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,11,4,206052.99355028805
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,12,1,248165.6164060054
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,12,3,242440.5094986657
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,6,4,241666.60569530565
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,58,4,62166.3899332498
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,27,3,225594.22257828875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,38,3,237851.90822147284
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,46,4,243926.53556003424
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,48,1,205169.27047800535
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,48,2,200296.21999811995
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,48,3,200237.5933530829
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,48,4,203022.8740272858
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,49,1,274768.4265660163
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,46,1,245873.9865365965
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,49,3,268991.1972616287
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,49,4,273238.2149127034
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,51,1,225086.90699678488
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,51,2,220721.71305417665
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,46,2,240545.25591809745
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,46,3,241000.5528758664
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,49,2,270452.30337715446
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,51,3,220092.1687616252
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,58,3,59483.651431567785
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,58,2,59478.79796109367
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,58,1,63555.8588374275
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,57,4,233572.2790632576
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,1,2,223883.5193956518
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,57,2,231053.7650548581
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,57,1,235161.34531895796
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,56,4,208209.06764415067
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,56,3,205417.86888573316
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,56,2,206107.50913774132
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,57,3,229724.1858735396
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,56,1,210065.7643362266
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,51,4,223202.6204120763
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,31,4,82254.50764025771
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,45,4,70270.41064644324
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,29,4,209699.5768548603
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,31,1,84617.47773385304
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,31,2,81017.30630243968
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,31,3,79584.96782713688
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,33,1,95153.61802532962
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,33,2,91988.15401496355
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,33,3,90038.03518268872
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,33,4,93117.21586203686
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,38,1,243250.83009101197
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,38,2,238364.39248434664
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,29,3,206535.4774144812
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,38,4,241781.8599087646
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,45,3,66880.71026346409
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,41,1,226044.34647691488
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,41,3,221294.1852542681
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,41,4,224369.55349781405
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,42,1,225670.7336997381
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,42,2,222483.7671508569
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,42,3,220552.65078684204
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,42,4,223337.3022335788
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,43,1,216055.2260420587
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,43,2,212086.2359440285
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,43,3,210987.23925823628
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,43,4,214231.0065460033
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,45,1,71708.98265999473
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,45,2,68270.41178123599
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,41,2,221811.0118384344
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,29,2,207246.5910228224
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,30,2,123549.10075887947
