base_building_group,building_id,variant,sample_id,seed,overheating_hours_any_zone_gt_26C
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,2,1,2082.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,0,1,47.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,0,3,54.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,1,1,7.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,1,2,11.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,1,3,9.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,3,1,22.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,3,2,34.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,3,3,30.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,7,2,75.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,7,3,71.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,8,1,33.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,8,2,51.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,11,2,9.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,7,1,60.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,18,3,7.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,11,3,7.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,18,2,8.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,18,1,6.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,17,3,9.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,17,1,8.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,16,3,47.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,17,2,13.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,16,1,36.0
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,12,3,18.0
