base_building_group,building_id,variant,sample_id,seed,peak_heating_kW
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,2,1,36.23476953125
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,0,1,62.35111328125
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,0,3,62.33384375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,1,1,57.37670703125
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,1,2,57.22149609375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,1,3,57.3506953125
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,3,1,58.30462109375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,3,2,58.150109375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,3,3,58.27857421875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,7,2,59.41248828125
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,7,3,59.50624609375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,8,1,63.56951171875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,8,2,63.41902734375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,11,2,61.25218359375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,7,1,59.525203125
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,18,3,61.57198046875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,11,3,61.38141796875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,18,2,61.44502734375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,18,1,61.59722265625
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,17,3,60.3321015625
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,17,1,60.3495
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,16,3,58.92721875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,17,2,60.19691015625
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,16,1,58.95357421875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,12,3,66.0724375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,12,2,65.9945390625
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,12,1,66.0906484375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,16,2,58.798421875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,0,2,62.19862890625
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,9,2,39.3565234375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,11,1,61.40644140625
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,19,2,24.307580078125
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,8,3,63.55293359375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,19,3,25.544685546875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,2,2,36.2219140625
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,2,3,36.264515625
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,4,1,39.765125
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,4,2,40.6126171875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,4,3,40.7006875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,5,1,38.88228125
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,6,1,40.5569765625
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,6,2,40.2113515625
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,6,3,40.22552734375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,9,1,39.50341796875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,9,3,39.444734375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,5,3,38.94587109375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,5,2,38.8666171875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,13,3,39.98734765625
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,19,1,26.12133203125
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,10,2,39.604203125
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,10,3,39.633984375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,13,1,40.20405859375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,14,3,39.1121171875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,14,1,39.09394921875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,13,2,39.936578125
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,15,1,23.52369140625
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,15,2,21.69197265625
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,15,3,21.661185546875
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,10,1,39.77512109375
DESHPDHK0000lce9,DESHPDHK0000lce9_1,V1,14,2,39.0387421875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,8,3,78.2876494140625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,3,1,77.00890625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,1,1,78.011234375
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,1,2,77.853287109375
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,1,3,78.0094951171875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,0,3,79.2053232421875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,0,1,79.211283203125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,7,2,70.9734931640625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,7,3,70.8950849609375
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,8,1,78.271490234375
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,7,1,70.9900791015625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,3,2,76.931849609375
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,3,3,76.9950732421875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,11,1,72.94859375
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,16,3,77.218421875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,11,3,72.903939453125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,18,2,78.6905888671875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,18,1,78.778515625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,17,3,88.579509765625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,17,2,88.812916015625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,17,1,88.804384765625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,0,2,79.0544462890625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,16,2,77.0973603515625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,16,1,77.2474140625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,12,3,87.876587890625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,12,2,87.9961103515625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,12,1,88.0395302734375
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,11,2,72.7916298828125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,8,2,78.161505859375
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,18,3,78.7422158203125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,14,1,49.214646484375
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,2,1,45.1858837890625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,9,3,50.6356171875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,5,2,49.3593623046875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,6,2,50.174279296875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,6,1,52.4803681640625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,5,3,49.47763525390625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,5,1,51.4701142578125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,19,3,30.35902001953125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,4,2,50.527828125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,4,1,51.8478017578125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,2,3,44.3335
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,2,2,44.26438134765625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,9,1,52.5635986328125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,4,3,50.5180966796875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,9,2,50.5857001953125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,6,3,50.3062177734375
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,10,1,50.735572265625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,10,2,49.17557421875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,10,3,49.1855517578125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,13,1,48.970626953125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,13,2,47.7425625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,13,3,47.8312734375
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,19,2,31.123843505859377
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,14,2,47.7734794921875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,14,3,47.7798955078125
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,15,1,33.54960009765625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,15,2,31.38528076171875
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,15,3,31.01002587890625
DESHPDHK0000lce9,DESHPDHK0000lce9_2,V2,19,1,33.26791650390625
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,3,2,75.97430810546875
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,8,2,83.2443125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,0,3,77.93636376953125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,1,1,75.2850546875
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,1,2,75.147818359375
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,3,3,76.0647880859375
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,1,3,75.2566025390625
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,7,1,75.95605908203125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,7,2,75.839826171875
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,7,3,75.95833544921875
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,8,3,83.24842578125
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,3,1,76.07386376953124
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,16,1,74.46740771484374
DESHPDHK0000lce9,DESHPDHK0000lce9_3,V3,17,2,85.51230224609375
