variant,p05,p50,p95,mean,std,n_runs
V1,7.0,1169.5,2638.1,1142.5375,1086.3736261027473,240
V1_20HH,3.950000000000001,914.5,2303.0,999.475,997.6371789357989,240
V2,64.95,1285.0,2620.0499999999997,1272.0375,1114.4490592668812,240
V2_20HH,145.35000000000002,1532.5,2938.45,1468.375,1189.0645460906967,240
V3,87.95,1411.0,2777.45,1363.4916666666666,1158.8526644221063,240
V4,92.75,1409.0,2786.1,1354.1291666666666,1147.5920414966356,240
V5,282.5,1863.0,3399.3999999999996,1744.125,1259.3470783733655,240
V6,358.95,2128.0,3772.5999999999995,1908.5083333333334,1310.603881992999,240
V7,63.95,1387.5,2810.2999999999997,1364.8541666666667,1197.7455180145691,240
V8,88.80000000000001,1413.0,2779.3999999999996,1364.5458333333333,1159.2086781062294,240
