variant,p05,p50,p95,mean,std,n_runs
V1,23.73955703125,47.108669921875,65.571991796875,47.91467056477865,13.821148353493404,240
V1_20HH,23.02698828125,44.81271875,55.043895117187446,43.96650627441406,11.016417472526847,240
V2,30.300560705566404,58.3329169921875,87.8894205078125,61.29530730285645,18.854849503073016,240
V2_20HH,27.53921865234375,56.18393994140625,86.40577641601563,59.401753234863286,19.32753554234215,240
V3,30.918114617919922,56.4475908203125,83.3311495361328,60.571868149566654,18.310553873584563,240
V4,31.042280291748046,56.50168627929687,84.53101069335938,60.55379047520955,18.28245582160337,240
V5,32.03090459289552,62.41565136718749,89.15805383300778,63.75359057133992,20.43402482442335,240
V6,31.050173416137696,60.18140759277344,86.26843367919919,61.935878976853694,19.531892833277205,240
V7,31.699699291992193,57.84882409667969,86.47544326171872,62.64535293757122,19.52480205727712,240
V8,32.780204443359374,59.97346673583985,89.51803757324217,64.42556498845418,20.41924829024863,240
