variant,building_id,weather_key,sample_id,seed,run_dir,timeseries_csv,peak_heating_kW_skip_first_day,peak_heating_datetime_skip_first_day,peak_heating_time_s_skip_first_day,skip_initial_hours,n_timesteps
V1,DESHPDHK0000lce9_1,TRY_A,0,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0000\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0000\seed_1\timeseries.csv,39.37468359375,2021-11-22 05:00:00,28098000.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,13,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0013\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0013\seed_1\timeseries.csv,55.6914296875,2021-01-24 05:00:00,2005200.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,13,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0013\seed_2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0013\seed_2\timeseries.csv,54.97576953125,2021-01-24 05:00:00,2005200.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,13,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0013\seed_3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0013\seed_3\timeseries.csv,55.09337109375,2021-01-24 05:00:00,2005200.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,13,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0013\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0013\seed_4\timeseries.csv,55.07277734375,2021-01-24 05:00:00,2005200.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,14,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0014\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0014\seed_1\timeseries.csv,55.0189296875,2021-01-24 05:00:00,2005200.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,14,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0014\seed_2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0014\seed_2\timeseries.csv,54.31505859375,2021-01-24 05:00:00,2005200.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,14,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0014\seed_3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0014\seed_3\timeseries.csv,54.43273828125,2021-01-24 05:00:00,2005200.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,14,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0014\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0014\seed_4\timeseries.csv,54.3775703125,2021-01-24 05:00:00,2005200.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,15,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0015\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0015\seed_1\timeseries.csv,23.734345703125,2021-01-02 00:00:00,86400.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,15,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0015\seed_2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0015\seed_2\timeseries.csv,22.141169921875,2021-01-02 00:00:00,86400.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,15,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0015\seed_3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0015\seed_3\timeseries.csv,22.394390625,2021-01-02 00:00:00,86400.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,15,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0015\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0015\seed_4\timeseries.csv,23.096640625,2021-01-02 00:00:00,86400.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,12,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0012\seed_4\timeseries.csv,55.5401640625,2021-01-24 05:00:00,2005200.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,16,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_1\timeseries.csv,54.26218359375,2021-01-24 05:00:00,2005200.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,16,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_3\timeseries.csv,53.6714921875,2021-01-24 05:00:00,2005200.0,24,8761
V1,DESHPDHK0000lce9_1,TRY_B,16,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0016\seed_4\timeseries.csv,53.63080859375,2021-01-24 05:00:00,2005200.0,24,8761
