variant,p05,p50,p95,mean,std,n_runs
V1,23.009707421875,40.131681640625004,56.328864257812484,42.041794010416666,12.036343338679936,240
V1_20HH,22.80236328125,38.85741796875,55.043895117187446,41.51225118001302,12.511335870047393,240
V2,29.595644982910155,49.299907226562496,68.67824267578125,51.58780143839519,13.93681620648119,240
V2_20HH,26.94977521972656,47.34047778320313,66.70018276367188,49.54225332132976,14.037605672289706,240
V3,29.67126309814453,49.345349609375,69.57389350585937,51.50068438796997,13.923721327720251,240
V4,29.552234002685548,49.30807287597656,70.15365021972656,51.596448723093665,14.020003801949489,240
V5,31.46726231994629,50.498201416015625,70.28110322265624,52.47865429407755,13.785615403955397,240
V6,30.724468367004395,49.80337091064453,70.97321054077148,51.87885458789666,14.138647933926672,240
V7,30.598968103027346,50.44769799804688,70.48240478515625,52.331096161397305,13.970327822843707,240
V8,31.677394522094726,50.70254510498047,71.68746899414063,53.280452943420414,14.187926396584741,240
