variant,n_runs,n_profiles_used,n_timesteps,median_profile_csv
V1,240,240,122,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_3D_heat_demand_profile_V1_median_heat_demand_profile.csv
V1_20HH,240,240,122,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_3D_heat_demand_profile_V1_20HH_median_heat_demand_profile.csv
V2,240,240,122,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_3D_heat_demand_profile_V2_median_heat_demand_profile.csv
V2_20HH,240,240,122,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_3D_heat_demand_profile_V2_20HH_median_heat_demand_profile.csv
V3,240,240,122,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_3D_heat_demand_profile_V3_median_heat_demand_profile.csv
V4,240,240,122,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_3D_heat_demand_profile_V4_median_heat_demand_profile.csv
V5,240,240,122,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_3D_heat_demand_profile_V5_median_heat_demand_profile.csv
V6,240,240,122,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_3D_heat_demand_profile_V6_median_heat_demand_profile.csv
V7,240,240,122,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_3D_heat_demand_profile_V7_median_heat_demand_profile.csv
V8,240,240,122,C:\Sharon\mza_sensitivity_analysis\plotting_scripts\new_plots\output\variant_profiles\complete_year_3D_heat_demand_profile_V8_median_heat_demand_profile.csv
