variant,building_id,weather_key,sample_id,seed,run_dir,year,n_timesteps,dt_hours,n_zones,wwr_factor,gains_scale,weather_key_meta,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,annual_heating_kWh,peak_heating_kW,annual_cooling_kWh,peak_cooling_kW,mean_tair_C,max_tair_C,mean_tsetheat_C,overheating_hours_meanTair_gt_26C,underheating_hours_meanTair_below_meanTset,mean_interzone_spread_C,max_interzone_spread_C,overheating_hours_any_zone_gt_26C
V1,DESHPDHK0000lce9_1,TRY_A,2,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_1,2021,8761,1.0,1,0.8255269024416702,1.1310524687970327,TRY_A,6,293.9038403001458,1.1324462823746604,standard,True,63490.511504433634,36.23476953125,0.0,0.0,23.268179168370278,35.181970214843716,20.749993896484398,2082.0,1629.0,0.0,0.0,2082.0
V1,DESHPDHK0000lce9_1,TRY_B,0,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0000\seed_3,2021,8761,1.0,1,1.129104645308332,0.9773656795309325,TRY_B,5,294.16835551224983,0.9950452772842244,standard,True,169927.61894167948,62.33384375,0.0,0.0,21.449912042773484,27.817620849609398,21.020013427734398,54.0,3905.0,0.0,0.0,54.0
V1,DESHPDHK0000lce9_1,TRY_B,1,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0001\seed_1,2021,8761,1.0,1,0.8908954887139108,1.021833914806334,TRY_B,5,293.6614166166424,1.9434068520031045,standard,True,169378.41104818915,57.37670703125,0.0,0.0,20.887890567176512,26.739129638671898,20.510003662109398,7.0,3201.0,0.0,0.0,7.0
V1,DESHPDHK0000lce9_1,TRY_B,1,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0001\seed_2,2021,8761,1.0,1,0.8908954887139108,1.021833914806334,TRY_B,5,293.6614166166424,1.9434068520031045,standard,True,165446.2930888195,57.22149609375,0.0,0.0,20.90737343004288,27.087030029296898,20.510003662109398,11.0,3148.0,0.0,0.0,11.0
V1,DESHPDHK0000lce9_1,TRY_B,1,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0001\seed_3,2021,8761,1.0,1,0.8908954887139108,1.021833914806334,TRY_B,5,293.6614166166424,1.9434068520031045,standard,True,165051.4071284313,57.3506953125,0.0,0.0,20.90438935012393,26.979302978515648,20.510003662109398,9.0,3164.0,0.0,0.0,9.0
V1,DESHPDHK0000lce9_1,TRY_B,3,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0003\seed_1,2021,8761,1.0,1,1.0526657596488258,1.1032350960341495,TRY_B,5,293.7251811832662,0.5116085777850673,standard,True,165693.152439312,58.30462109375,0.0,0.0,21.034847356793886,27.461785888671898,20.580010986328148,22.0,3740.0,0.0,0.0,22.0
V1,DESHPDHK0000lce9_1,TRY_B,3,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0003\seed_2,2021,8761,1.0,1,1.0526657596488258,1.1032350960341495,TRY_B,5,293.7251811832662,0.5116085777850673,standard,True,161730.02659632778,58.150109375,0.0,0.0,21.05682930312275,27.718438720703148,20.580010986328148,34.0,3683.0,0.0,0.0,34.0
V1,DESHPDHK0000lce9_1,TRY_B,3,3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0003\seed_3,2021,8761,1.0,1,1.0526657596488258,1.1032350960341495,TRY_B,5,293.7251811832662,0.5116085777850673,standard,True,161281.33656437017,58.27857421875,0.0,0.0,21.054007721208535,27.643243408203148,20.580010986328148,30.0,3645.0,0.0,0.0,30.0
V1,DESHPDHK0000lce9_1,TRY_B,7,1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0007\seed_1,2021,8761,1.0,1,0.8175215063148915,0.8617157968270192,TRY_B,5,294.5658139132884,1.0379203880565346,retrofit,False,67051.2238224144,59.525203125,0.0,0.0,21.91296562209631,27.722497558593716,21.420007324218773,60.0,2884.0,0.0,0.0,60.0
V1,DESHPDHK0000lce9_1,TRY_B,7,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0007\seed_2,2021,8761,1.0,1,0.8175215063148915,0.8617157968270192,TRY_B,5,294.5658139132884,1.0379203880565346,retrofit,False,63178.21892104363,59.41248828125,0.0,0.0,21.94106451930856,27.950494384765648,21.420007324218773,75.0,2825.0,0.0,0.0,75.0
