building_id,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max,peak_heating_kW_mean,peak_heating_kW_std,peak_heating_kW_min,peak_heating_kW_max,overheating_hours_meanTair_gt_26C_mean,overheating_hours_meanTair_gt_26C_std,overheating_hours_meanTair_gt_26C_min,overheating_hours_meanTair_gt_26C_max,mean_interzone_spread_C_mean,mean_interzone_spread_C_std,mean_interzone_spread_C_min,mean_interzone_spread_C_max,weather_key,wwr_factor,gains_scale,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,n_zones
DESHPDHK0000lce9_1,V1,0,171510.7750939862,2379.6080878577013,169927.61894167948,174247.28172920228,62.29452864583334,0.08349927674244827,62.19862890625,62.35111328125,53.0,5.5677643628300215,47.0,58.0,0.0,0.0,0.0,0.0,TRY_B,1.129104645308332,0.9773656795309325,5.0,294.16835551224983,0.9950452772842244,standard,True,1.0
DESHPDHK0000lce9_7,V1,3,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,2,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,1,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,0,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_3,V1,1,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,0,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,1,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,2,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,4,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,3,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,5,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,6,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,7,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,8,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,9,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,10,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,11,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,12,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,4,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,13,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,5,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,7,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,5,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,4,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,3,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,2,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,1,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_8,V1,0,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,19,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,18,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,6,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,17,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,15,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,14,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,13,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,12,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,11,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,10,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,9,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,8,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_7,V1,16,,,,,,,,,,,,,,,,,,,,,,,,,
DESHPDHK0000lce9_2,V1,14,,,,,,,,,,,,,,,,,,,,,,,,,
