base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_ref,annual_heating_kWh_delta_vs_V2
DESHPDHK0000lce9,V1,0,171510.7750939862,214949.47421192806,-43438.69911794187
DESHPDHK0000lce9,V1,19,28309.815766446194,40609.687685082485,-12299.87191863629
DESHPDHK0000lce9,V1,18,179555.13723949107,223275.82822217516,-43720.690982684086
DESHPDHK0000lce9,V1,17,172120.54960784432,241868.78815080793,-69748.2385429636
DESHPDHK0000lce9,V1,16,164281.1558447118,207956.6990704505,-43675.543225738715
DESHPDHK0000lce9,V1,15,19726.50882705744,39769.81978014442,-20043.310953086977
DESHPDHK0000lce9,V1,13,73058.01085018588,93693.72647146582,-20635.715621279945
DESHPDHK0000lce9,V1,12,185992.0495834079,247592.21872712616,-61600.16914371826
DESHPDHK0000lce9,V1,11,178881.2534975483,214218.80063948993,-35337.54714194161
DESHPDHK0000lce9,V1,10,74121.99602660512,106324.62024281586,-32202.624216210737
DESHPDHK0000lce9,V1,14,65865.40409609898,93517.17928196357,-27651.775185864593
DESHPDHK0000lce9,V1,8,174447.89664714815,208225.68335572165,-33777.78670857349
DESHPDHK0000lce9,V1,9,67177.22200663447,109977.58684096563,-42800.36483433115
DESHPDHK0000lce9,V1,2,61438.07317036056,82524.85032566874,-21086.777155308177
DESHPDHK0000lce9,V1,3,162901.5052000033,204166.00214817465,-41264.49694817135
DESHPDHK0000lce9,V1,4,70754.8585275782,110413.73599261284,-39658.877465034646
DESHPDHK0000lce9,V1,1,166625.37042181334,227410.62432925074,-60785.25390743741
DESHPDHK0000lce9,V1,6,79869.80561501144,117326.76690892463,-37456.96129391319
DESHPDHK0000lce9,V1,7,64352.54955048283,83517.59468545772,-19165.04513497489
DESHPDHK0000lce9,V1,5,64197.9033389616,101832.2853737989,-37634.382034837305
DESHPDHK0000lce9,V2,11,214218.80063948993,214218.80063948993,0.0
DESHPDHK0000lce9,V2,19,40609.687685082485,40609.687685082485,0.0
DESHPDHK0000lce9,V2,18,223275.82822217516,223275.82822217516,0.0
DESHPDHK0000lce9,V2,17,241868.78815080793,241868.78815080793,0.0
DESHPDHK0000lce9,V2,16,207956.6990704505,207956.6990704505,0.0
DESHPDHK0000lce9,V2,15,39769.81978014442,39769.81978014442,0.0
DESHPDHK0000lce9,V2,13,93693.72647146582,93693.72647146582,0.0
DESHPDHK0000lce9,V2,12,247592.21872712616,247592.21872712616,0.0
DESHPDHK0000lce9,V2,10,106324.62024281586,106324.62024281586,0.0
DESHPDHK0000lce9,V2,14,93517.17928196357,93517.17928196357,0.0
DESHPDHK0000lce9,V2,8,208225.68335572165,208225.68335572165,0.0
DESHPDHK0000lce9,V2,1,227410.62432925074,227410.62432925074,0.0
DESHPDHK0000lce9,V2,2,82524.85032566874,82524.85032566874,0.0
DESHPDHK0000lce9,V2,3,204166.00214817465,204166.00214817465,0.0
DESHPDHK0000lce9,V2,4,110413.73599261284,110413.73599261284,0.0
DESHPDHK0000lce9,V2,0,214949.47421192806,214949.47421192806,0.0
DESHPDHK0000lce9,V2,5,101832.2853737989,101832.2853737989,0.0
DESHPDHK0000lce9,V2,6,117326.76690892463,117326.76690892463,0.0
DESHPDHK0000lce9,V2,7,83517.59468545772,83517.59468545772,0.0
DESHPDHK0000lce9,V2,9,109977.58684096563,109977.58684096563,0.0
DESHPDHK0000lce9,V3,10,106187.02631925147,106324.62024281586,-137.59392356438912
DESHPDHK0000lce9,V3,18,217218.945642986,223275.82822217516,-6056.882579189172
DESHPDHK0000lce9,V3,17,236333.32959979345,241868.78815080793,-5535.4585510144825
DESHPDHK0000lce9,V3,16,205423.2006514369,207956.6990704505,-2533.498419013602
DESHPDHK0000lce9,V3,15,38238.22113624841,39769.81978014442,-1531.59864389601
DESHPDHK0000lce9,V3,14,88352.29836206896,93517.17928196357,-5164.880919894611
DESHPDHK0000lce9,V3,13,102250.18339102615,93693.72647146582,8556.456919560325
DESHPDHK0000lce9,V3,12,245949.07066050576,247592.21872712616,-1643.1480666204006
DESHPDHK0000lce9,V3,11,228002.52188108108,214218.80063948993,13783.721241591149
DESHPDHK0000lce9,V3,19,42847.21947758309,40609.687685082485,2237.531792500602
DESHPDHK0000lce9,V3,9,117806.03689608896,109977.58684096563,7828.450055123336
DESHPDHK0000lce9,V3,7,93866.67564116135,83517.59468545772,10349.080955703626
DESHPDHK0000lce9,V3,6,107092.46574479656,117326.76690892463,-10234.301164128075
DESHPDHK0000lce9,V3,5,98589.63516470969,101832.2853737989,-3242.6502090892172
DESHPDHK0000lce9,V3,4,103484.79952811867,110413.73599261284,-6928.936464494167
DESHPDHK0000lce9,V3,3,202281.0779792145,204166.00214817465,-1884.9241689601622
DESHPDHK0000lce9,V3,2,85164.86813850305,82524.85032566874,2640.0178128343105
DESHPDHK0000lce9,V3,1,219400.53160757254,227410.62432925074,-8010.0927216782
DESHPDHK0000lce9,V3,0,211208.16851903443,214949.47421192806,-3741.3056928936276
DESHPDHK0000lce9,V3,8,228440.96902856193,208225.68335572165,20215.285672840284
DESHPDHK0000lce9,V4,12,248154.26780848476,247592.21872712616,562.049081358593
DESHPDHK0000lce9,V4,13,104888.38847393806,93693.72647146582,11194.662002472236
DESHPDHK0000lce9,V4,14,88580.39959212054,93517.17928196357,-4936.779689843039
DESHPDHK0000lce9,V4,11,232013.1678107664,214218.80063948993,17794.367171276477
DESHPDHK0000lce9,V4,16,207440.9598783241,207956.6990704505,-515.7391921264061
DESHPDHK0000lce9,V4,17,238523.95683933378,241868.78815080793,-3344.831311474147
DESHPDHK0000lce9,V4,18,217845.01763023844,223275.82822217516,-5430.810591936723
DESHPDHK0000lce9,V4,15,38886.43902311446,39769.81978014442,-883.3807570299614
DESHPDHK0000lce9,V4,10,107845.80205117683,106324.62024281586,1521.1818083609687
DESHPDHK0000lce9,V4,19,43842.47602922077,40609.687685082485,3232.7883441382874
DESHPDHK0000lce9,V4,8,234121.36543109477,208225.68335572165,25895.68207537313
DESHPDHK0000lce9,V4,0,211895.7581373341,214949.47421192806,-3053.7160745939473
DESHPDHK0000lce9,V4,1,218540.79675274008,227410.62432925074,-8869.827576510666
DESHPDHK0000lce9,V4,2,86579.5775858005,82524.85032566874,4054.7272601317673
DESHPDHK0000lce9,V4,3,203788.81320633518,204166.00214817465,-377.1889418394712
DESHPDHK0000lce9,V4,9,120518.54262833305,109977.58684096563,10540.95578736742
DESHPDHK0000lce9,V4,5,98531.56829510823,101832.2853737989,-3300.717078690679
DESHPDHK0000lce9,V4,6,106021.221624702,117326.76690892463,-11305.545284222637
DESHPDHK0000lce9,V4,7,96411.81607749703,83517.59468545772,12894.221392039311
DESHPDHK0000lce9,V4,4,104069.0410245222,110413.73599261284,-6344.69496809064
DESHPDHK0000lce9,V5,11,,214218.80063948993,
DESHPDHK0000lce9,V5,19,,40609.687685082485,
DESHPDHK0000lce9,V5,18,,223275.82822217516,
DESHPDHK0000lce9,V5,17,,241868.78815080793,
DESHPDHK0000lce9,V5,16,,207956.6990704505,
DESHPDHK0000lce9,V5,15,,39769.81978014442,
DESHPDHK0000lce9,V5,14,,93517.17928196357,
DESHPDHK0000lce9,V5,13,,93693.72647146582,
DESHPDHK0000lce9,V5,12,,247592.21872712616,
DESHPDHK0000lce9,V5,10,,106324.62024281586,
DESHPDHK0000lce9,V5,9,,109977.58684096563,
DESHPDHK0000lce9,V5,8,,208225.68335572165,
DESHPDHK0000lce9,V5,1,,227410.62432925074,
DESHPDHK0000lce9,V5,2,,82524.85032566874,
DESHPDHK0000lce9,V5,3,,204166.00214817465,
