base_building_group,variant,sample_id,annual_heating_kWh_mean,annual_heating_kWh_std,annual_heating_kWh_min,annual_heating_kWh_max
DESHPDHK0000lce9,V1,0,171510.7750939862,2379.608087857698,169927.61894167948,174247.28172920228
DESHPDHK0000lce9,V1,19,28309.815766446194,1831.7064878509307,27114.283432451488,30418.59996325493
DESHPDHK0000lce9,V1,18,179555.13723949107,2371.605147507897,178007.68794302916,182285.53290806388
DESHPDHK0000lce9,V1,17,172120.54960784432,2480.3086475036484,170466.71497076988,174972.4494526743
DESHPDHK0000lce9,V1,16,164281.1558447118,2301.3689352748706,162767.93867548992,166929.57026643373
DESHPDHK0000lce9,V1,15,19726.50882705744,1554.0273546989372,18722.811277314664,21516.55185771203
DESHPDHK0000lce9,V1,13,73058.01085018588,1835.81842263849,71861.55174792481,75171.69198198844
DESHPDHK0000lce9,V1,12,185992.0495834079,2420.115369505763,184391.60924149517,188776.18039643
DESHPDHK0000lce9,V1,11,178881.2534975483,2340.0905253094124,177358.21003744888,181575.7205529058
DESHPDHK0000lce9,V1,10,74121.99602660512,1844.6378960097895,72922.87365908264,76246.11226944947
DESHPDHK0000lce9,V1,14,65865.40409609898,1802.8719142885452,64689.34693983459,67941.05302675057
DESHPDHK0000lce9,V1,8,174447.89664714815,2519.1133766225503,172746.91013139678,177341.895681674
DESHPDHK0000lce9,V1,9,67177.22200663447,1743.1356533850858,66053.53041286659,69185.27311663056
DESHPDHK0000lce9,V1,2,61438.07317036056,1781.9185278601667,60285.93218808985,63490.511504433634
DESHPDHK0000lce9,V1,3,162901.5052000033,2428.0241798114985,161281.33656437017,165693.152439312
DESHPDHK0000lce9,V1,4,70754.8585275782,1826.8749005175725,69564.04772875356,72858.22584069824
DESHPDHK0000lce9,V1,1,166625.37042181334,2392.364572611108,165051.4071284313,169378.41104818915
DESHPDHK0000lce9,V1,6,79869.80561501144,1918.8345512872347,78619.03230871844,82079.04852344513
DESHPDHK0000lce9,V1,7,64352.54955048283,2343.6636697307204,62828.20590799046,67051.2238224144
DESHPDHK0000lce9,V1,5,64197.9033389616,1797.1885576112788,63026.42831426239,66267.09001171017
