variant,building_id,weather_key,seed,sample_id,run_dir,timeseries_csv,n_total_zones,n_residential_zones,annual_heat_demand_kWh,peak_heat_demand_kW,peak_timestamp,peak_zone_heat_demand_kW,peak_zone_number,peak_zone_name,overheating_threshold_C,overheating_hours_mean_zone,overheating_hours_max_zone,overheated_zone_number,overheated_zone_name,mean_indoor_temp_C
V1,DESHPDHK0000lce9_1,TRY_A,1,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_1\timeseries.csv,1,1,63490511.50443363,36234.76953125,2021-11-22T05:00:00,36234.76953125,1,ThermalZone,26.0,2082.0,2082.0,1,ThermalZone,23.268179168370274
V1,DESHPDHK0000lce9_1,TRY_A,2,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_2\timeseries.csv,1,1,60537775.818558216,36221.9140625,2021-12-21T04:00:00,36221.9140625,1,ThermalZone,26.0,2118.0,2118.0,1,ThermalZone,23.309025168443398
V1,DESHPDHK0000lce9_1,TRY_A,3,2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0002\seed_3\timeseries.csv,1,1,60285932.18808985,36264.515625,2021-12-21T05:00:00,36264.515625,1,ThermalZone,26.0,2112.0,2112.0,1,ThermalZone,23.306220442431545
V1,DESHPDHK0000lce9_1,TRY_A,1,4,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0004\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0004\seed_1\timeseries.csv,1,1,72858225.84069824,39765.125,2021-12-21T05:00:00,39765.125,1,ThermalZone,26.0,1891.0,1891.0,1,ThermalZone,22.923312878486264
V1,DESHPDHK0000lce9_1,TRY_A,2,4,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0004\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0004\seed_2\timeseries.csv,1,1,69842302.01328278,40612.6171875,2021-12-21T04:00:00,40612.6171875,1,ThermalZone,26.0,1925.0,1925.0,1,ThermalZone,22.96230614702122
V1,DESHPDHK0000lce9_1,TRY_A,3,4,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0004\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0004\seed_3\timeseries.csv,1,1,69564047.72875357,40700.6875,2021-12-21T05:00:00,40700.6875,1,ThermalZone,26.0,1925.0,1925.0,1,ThermalZone,22.95912365581931
V1,DESHPDHK0000lce9_1,TRY_A,1,5,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0005\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0005\seed_1\timeseries.csv,1,1,66267090.01171017,38882.28125,2021-11-22T05:00:00,38882.28125,1,ThermalZone,26.0,2147.0,2147.0,1,ThermalZone,23.403129654444474
V1,DESHPDHK0000lce9_1,TRY_A,2,5,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0005\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0005\seed_2\timeseries.csv,1,1,63300191.69091225,38866.6171875,2021-12-21T04:00:00,38866.6171875,1,ThermalZone,26.0,2169.0,2169.0,1,ThermalZone,23.43985629352231
V1,DESHPDHK0000lce9_1,TRY_A,3,5,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0005\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0005\seed_3\timeseries.csv,1,1,63026428.31426239,38945.87109375,2021-12-21T05:00:00,38945.87109375,1,ThermalZone,26.0,2181.0,2181.0,1,ThermalZone,23.436778316578373
V1,DESHPDHK0000lce9_1,TRY_A,1,6,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0006\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0006\seed_1\timeseries.csv,1,1,82079048.52344513,40556.9765625,2021-11-22T05:00:00,40556.9765625,1,ThermalZone,26.0,1901.0,1901.0,1,ThermalZone,23.41216250226837
V1,DESHPDHK0000lce9_1,TRY_A,2,6,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0006\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0006\seed_2\timeseries.csv,1,1,78911336.01287079,40211.3515625,2021-12-21T04:00:00,40211.3515625,1,ThermalZone,26.0,1934.0,1934.0,1,ThermalZone,23.44402066629074
V1,DESHPDHK0000lce9_1,TRY_A,3,6,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0006\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0006\seed_3\timeseries.csv,1,1,78619032.30871844,40225.52734375,2021-12-21T04:00:00,40225.52734375,1,ThermalZone,26.0,1935.0,1935.0,1,ThermalZone,23.44009612176725
V1,DESHPDHK0000lce9_1,TRY_A,1,9,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_1\timeseries.csv,1,1,69185273.11663055,39503.41796875,2021-11-22T05:00:00,39503.41796875,1,ThermalZone,26.0,2139.0,2139.0,1,ThermalZone,23.475234422094832
V1,DESHPDHK0000lce9_1,TRY_A,2,9,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_2\timeseries.csv,1,1,66292862.490406275,39356.5234375,2021-12-21T04:00:00,39356.5234375,1,ThermalZone,26.0,2159.0,2159.0,1,ThermalZone,23.507984402337307
V1,DESHPDHK0000lce9_1,TRY_A,3,9,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_3,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0009\seed_3\timeseries.csv,1,1,66053530.41286659,39444.734375,2021-12-21T05:00:00,39444.734375,1,ThermalZone,26.0,2169.0,2169.0,1,ThermalZone,23.50424295979922
V1,DESHPDHK0000lce9_1,TRY_A,1,10,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_1,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_1\timeseries.csv,1,1,76246112.26944947,39775.12109375,2021-11-22T05:00:00,39775.12109375,1,ThermalZone,26.0,1952.0,1952.0,1,ThermalZone,23.325327142446167
V1,DESHPDHK0000lce9_1,TRY_A,2,10,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_2,C:\Sharon\mza_sensitivity_analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0010\seed_2\timeseries.csv,1,1,73197002.15128326,39604.203125,2021-12-21T04:00:00,39604.203125,1,ThermalZone,26.0,1979.0,1979.0,1,ThermalZone,23.358752334119266
