building_id,A,y,n_valid_apts
108.0,200.03,84.17,2
341.0,203.75,59.49,3
343.0,202.62,89.865,2
367.0,347.89,73.7775,4
470.0,377.42,83.36999999999999,4
471.0,363.26,80.31,4
474.0,263.19,77.44666666666667,3
476.0,254.8,75.38333333333334,3
524.0,412.13,91.41499999999999,4
546.0,205.53,97.625,2
559.0,206.22,85.58500000000001,2
594.0,229.62,39.96,5
613.0,367.65,75.6175,4
621.0,433.47,88.05250000000001,4
624.0,423.42,85.8175,4
973.0,190.41,55.36000000000001,3
982.0,297.99,90.10666666666667,3
990.0,219.54,64.96,3
994.0,439.65,96.9425,4
1201.0,218.84,93.575,2
1261.0,124.39,33.64333333333334,3
1322.0,160.33,68.32,2
1326.0,231.4,102.96000000000001,2
1366.0,160.93,68.53999999999999,2
1544.0,193.8,84.605,2
1802.0,172.87,37.400000000000006,4
1856.0,277.47,59.459999999999994,4
1948.0,157.33,67.84,2
1956.0,209.62,86.25,2
1980.0,216.22,63.50999999999999,3
2000.0,285.67,83.95333333333333,3
2006.0,280.48,83.19666666666667,3
2038.0,156.87,68.3,2
2041.0,215.89,63.370000000000005,3
2075.0,260.78,77.67,3
2097.0,360.1,51.958333333333336,6
2139.0,442.65,74.91600000000001,5
2258.0,242.27,105.075,2
2419.0,183.38,82.25,2
2422.0,171.63,76.9,2
2425.0,146.09,63.735,2
2428.0,145.02,63.865,2
2437.0,148.08,64.5,2
2538.0,214.06,101.29499999999999,2
2544.0,282.69,80.92999999999999,3
2877.0,387.34,83.9475,4
2898.0,188.25,41.215,4
2900.0,187.54,82.36500000000001,2
3043.0,139.8,61.11,2
3053.0,186.97,55.35666666666666,3
3098.0,293.28,85.42666666666666,3
3511.0,191.45,83.795,2
3512.0,191.55,54.903333333333336,3
3656.0,288.88,64.1,4
3659.0,260.2,77.94333333333334,3
3663.0,283.82,60.5025,4
3727.0,251.41,54.544999999999995,4
4067.0,360.23,52.491666666666674,6
4069.0,364.61,52.94833333333333,6
4243.0,233.22,100.725,2
4252.0,240.28,70.58,3
4828.0,197.56,56.42000000000001,3
4872.0,272.6,119.235,2
5070.0,169.76,75.045,2
5105.0,200.3,89.66,2
5320.0,304.64,65.81,4
5321.0,214.38,89.6,2
5324.0,215.07,89.765,2
5864.0,173.4,77.505,2
5880.0,167.76,74.83500000000001,2
5919.0,437.25,95.7125,4
5964.0,433.73,76.82000000000001,5
6151.0,437.29,95.86500000000001,4
6332.0,299.65,63.41499999999999,4
6335.0,230.17,64.71,3
6354.0,229.66,102.58,2
6367.0,245.73,109.13499999999999,2
6368.0,243.34,108.785,2
6644.0,181.57,80.58,2
6677.0,193.03,85.33500000000001,2
6775.0,382.28,66.936,5
7293.0,351.52,73.66749999999999,4
7740.0,281.15,79.68333333333334,3
7787.0,282.83,61.4925,4
7820.0,254.41,74.11333333333334,3
7848.0,283.94,61.39,4
7872.0,306.66,67.44,4
7887.0,297.15,87.61666666666666,3
7972.0,234.7,51.085,4
8192.0,197.63,87.315,2
8243.0,268.98,58.64,4
8346.0,178.36,51.96,3
8380.0,446.24,97.1225,4
8400.0,230.32,66.43666666666667,3
8414.0,166.8,71.505,2
8432.0,238.84,70.50666666666666,3
8514.0,403.35,86.645,4
8520.0,452.0,97.29,4
8523.0,241.83,71.67333333333333,3
8534.0,395.65,85.58500000000001,4
8562.0,437.76,96.39750000000001,4
8697.0,337.43,73.2425,4
8707.0,360.04,81.44999999999999,4
9056.0,230.93,67.96666666666665,3
9102.0,184.25,81.035,2
9130.0,182.55,80.375,2
9132.0,187.77,83.15,2
9226.0,249.65,53.355,4
9256.0,394.22,86.03999999999999,4
9481.0,206.93,62.879999999999995,3
10382.0,194.42,83.57,2
10394.0,217.14,61.580000000000005,3
10612.0,211.42,89.66,2
10633.0,131.51,54.78,2
11108.0,321.71,89.64666666666666,3
11160.0,463.85,68.41666666666667,6
11240.0,429.09,92.35,4
11244.0,428.43,92.3325,4
11498.0,445.56,98.3375,4
11501.0,466.25,82.932,5
