variant,sa_retrofit_state,weather_label,p05,p50,p95
V1,retrofit,Munich,44.00389829024283,48.862080399488214,60.33142226385614
V1,retrofit,Napoli,19.790646622391392,22.30474088830662,29.58637182030424
V1,standard,Munich,158.07262275972127,175.54914585223221,187.275286281518
V1,standard,Napoli,56.15566300129657,71.0262238578199,79.76548198245044
V2,retrofit,Munich,59.886062206820085,76.31831207222916,92.94785658497587
V2,retrofit,Napoli,30.462396067460798,35.317509207328264,58.35628321780899
V2,standard,Munich,204.67242553210923,225.11817612966044,252.0993582237783
V2,standard,Napoli,72.70645157803419,97.07187712447552,120.02548334679783
V3,retrofit,Munich,60.58956524715604,74.95683200334544,93.04554960408409
V3,retrofit,Napoli,30.852319477899535,37.22301000898398,56.51214329803465
V3,standard,Munich,204.62954508850032,224.08309299233605,253.48209528113773
V3,standard,Napoli,72.2986774112479,95.33325217574568,111.88808520273234
V4,retrofit,Munich,61.71179897060826,75.25932245208686,94.42627741362207
V4,retrofit,Napoli,30.799909971643007,38.12690736532153,57.27794600861503
V4,standard,Munich,205.65704893043247,225.65140744708816,257.31275794228577
V4,standard,Napoli,72.62632806863657,96.61011145362158,113.6585631009903
V5,retrofit,Munich,54.43491642304679,61.99545732289012,80.69434607455987
V5,retrofit,Napoli,26.02406798322143,32.284489979639574,48.39846136992713
V5,standard,Munich,191.74405057867594,213.5025672790295,234.4702895145735
V5,standard,Napoli,71.71358183262292,90.14215292991332,105.45074478159866
V6,retrofit,Munich,55.83057097563981,62.61683993711367,78.98086758648827
V6,retrofit,Napoli,25.742389118571253,32.79398660434424,48.10603308410875
V6,standard,Munich,190.2232186429388,212.34821517716057,233.8009358039074
V6,standard,Napoli,71.94012155330223,90.84719304594294,105.74207600733958
V7,retrofit,Munich,59.55447060229738,73.8470180490728,92.60120750819233
V7,retrofit,Napoli,30.57288024406353,36.87366764106214,56.33830528693643
V7,standard,Munich,204.83975861052505,222.18726201875103,257.0520538644574
V7,standard,Napoli,70.80337343359568,94.04421807508598,112.09172488872564
V8,retrofit,Munich,64.06631659875929,78.4928477492372,96.65826630153536
V8,retrofit,Napoli,32.4466965235749,38.70186813989007,57.98234822008997
V8,standard,Munich,209.08636281301244,228.7679533623238,258.2459130114001
V8,standard,Napoli,73.89241757999494,96.80490927211302,113.27400175531493
