variant,sa_retrofit_state,weather_label,p05,p50,p95
V1,retrofit,Munich,0.0,0.0,0.0
V1,retrofit,Napoli,0.0,0.0,0.0
V1,standard,Munich,0.0,0.0,0.0
V1,standard,Napoli,0.0,0.0,0.0
V2,retrofit,Munich,16.190304565429695,16.38629150390625,17.806549072265625
V2,retrofit,Napoli,8.864125061035157,10.517639160156222,11.86242218017578
V2,standard,Munich,14.548339843750044,15.208526611328123,16.31775665283203
V2,standard,Napoli,8.940663146972657,9.654083251953123,10.915466308593752
V3,retrofit,Munich,16.750611877441415,16.857666015625,17.81311798095703
V3,retrofit,Napoli,10.279116821289062,11.338912963867188,11.831843566894532
V3,standard,Munich,14.515800476074219,15.301651000976562,16.448326110839844
V3,standard,Napoli,9.056961059570312,9.892013549804688,11.213771057128906
V4,retrofit,Munich,14.000292968749998,14.272003173828153,15.17870635986328
V4,retrofit,Napoli,8.328724670410157,9.293869018554688,9.903187561035157
V4,standard,Munich,13.436935424804688,14.21484375,15.358787536621094
V4,standard,Napoli,8.163810729980469,9.1685791015625,10.548257446289062
V5,retrofit,Munich,17.21381378173828,17.799163818359375,18.05928955078125
V5,retrofit,Napoli,11.117308044433592,11.636749267578125,11.873638916015624
V5,standard,Munich,14.51166534423828,15.28472900390625,16.515579223632812
V5,standard,Napoli,9.26759033203125,10.4610595703125,11.063751220703125
V6,retrofit,Munich,13.714933776855469,14.205978393554688,14.44061279296875
V6,retrofit,Napoli,8.824790954589844,9.467880249023438,10.383663940429662
V6,standard,Munich,12.266036987304702,13.220718383789062,14.493484497070312
V6,standard,Napoli,8.040284729003906,9.943023681640623,12.272459411621114
V7,retrofit,Munich,4.45830078125,5.024261474609375,5.9978698730468745
V7,retrofit,Napoli,3.7308502197265936,4.69586181640625,6.34882354736325
V7,standard,Munich,4.145477294921932,4.876876831054659,5.9701080322265625
V7,standard,Napoli,4.226789855957032,5.720947265625,6.875537109374979
V8,retrofit,Munich,6.502726745605469,6.8430023193359375,7.160520935058594
V8,retrofit,Napoli,6.058918762207031,6.727264404296875,7.179774475097656
V8,standard,Munich,4.5775146484375,5.4121856689453125,6.177215576171875
V8,standard,Napoli,5.006344604492187,6.0006256103515625,7.06561279296875
