variant,sa_retrofit_state,weather_label,p05,p50,p95
V1,retrofit,Munich,28.202464294433618,28.940850830078148,29.310694885253934
V1,retrofit,Napoli,35.156655883789085,35.551614379882835,35.92850799560549
V1,standard,Munich,26.562219238281276,27.346673583984398,28.063195800781273
V1,standard,Napoli,35.13400115966799,35.52796325683593,35.84234008789065
V2,retrofit,Munich,28.214284537457605,28.86554454520143,29.221168066865495
V2,retrofit,Napoli,34.91137483587059,35.73190162740943,36.16760418069402
V2,standard,Munich,26.756497411140998,27.385899124910935,27.897318037170823
V2,standard,Napoli,35.285976680661264,35.66138488675318,36.0530944499336
V3,retrofit,Munich,28.16591980785664,28.812734211732106,29.184972313191704
V3,retrofit,Napoli,35.056059250940365,35.672259805653084,36.146065467364124
V3,standard,Munich,26.66273431516157,27.263731441962165,27.894676395979005
V3,standard,Napoli,35.14895118947005,35.50890460523985,35.842748650719706
V4,retrofit,Munich,27.871536906161342,28.525393487789984,28.9671795937792
V4,retrofit,Napoli,34.857681271243116,35.400303483325416,35.991428610748756
V4,standard,Munich,26.292144297508454,26.916051660701697,27.547899859478647
V4,standard,Napoli,34.81893136657109,35.214689763327215,35.553005953778786
V5,retrofit,Munich,27.96628379561701,28.72770125659278,29.223943317347324
V5,retrofit,Napoli,35.29681342040324,35.67570138498161,36.25164682583731
V5,standard,Munich,26.687101466572912,27.314454132460867,27.911872892386423
V5,standard,Napoli,35.115162423263854,35.48089975798618,35.80968344329553
V6,retrofit,Munich,27.691165099452896,28.571483655104316,29.193858593113013
V6,retrofit,Napoli,34.908568088132135,35.36525917436339,35.98686985360206
V6,standard,Munich,26.168839198614265,26.879286707604336,27.61060793173037
V6,standard,Napoli,34.65820870605242,35.102409165962484,35.442123306401086
V7,retrofit,Munich,27.834609454199654,28.469866945816705,28.85633034039291
V7,retrofit,Napoli,34.66702762870264,35.171767711797685,35.84371409743263
V7,standard,Munich,26.431466450717632,27.037102907359554,27.732209958833902
V7,standard,Napoli,34.78274310417538,35.105938970446715,35.490933581823
V8,retrofit,Munich,28.15087781076269,28.795334693123976,29.173903084628094
V8,retrofit,Napoli,35.049286144421515,35.64846387298104,36.106443208404386
V8,standard,Munich,26.661682605793207,27.259435026221837,27.90677353515054
V8,standard,Napoli,35.151630752924,35.503908169166294,35.837667799094866
