variant,sa_retrofit_state,weather_label,p05,p50,p95
V1,retrofit,Munich,0.0,0.0,0.0
V1,retrofit,Napoli,0.0,0.0,0.0
V1,standard,Munich,0.0,0.0,0.0
V1,standard,Napoli,0.0,0.0,0.0
V2,retrofit,Munich,7.482213354878143,7.654494114137653,8.843589452145487
V2,retrofit,Napoli,3.8293397993791585,4.523163803199854,5.29654780913537
V2,standard,Munich,6.253458102970499,6.911991712859527,8.02844894717456
V2,standard,Napoli,3.406161402534806,4.037194983407579,4.848520742171896
V3,retrofit,Munich,8.01156534369767,8.141551088843226,8.892841855604185
V3,retrofit,Napoli,4.594512995883302,5.178732718850991,5.375704925923758
V3,standard,Munich,6.3107530907155365,7.02391662876324,8.133214144385065
V3,standard,Napoli,3.701466584551242,4.512485200664033,5.237214162352152
V4,retrofit,Munich,6.179349078659653,6.496558598793884,7.279027298125162
V4,retrofit,Napoli,3.4435777160623653,3.914870707252068,4.199803147165214
V4,standard,Munich,5.644990912965277,6.327522074927238,7.536226469174246
V4,standard,Napoli,3.0445180580531925,3.9413682414902764,4.775383604319861
V5,retrofit,Munich,8.754127593008356,9.07480331610741,9.326381018117964
V5,retrofit,Napoli,5.504087896295885,5.786609772881504,5.87023310918757
V5,standard,Munich,6.6602382688214306,7.229909439879378,8.448355497201959
V5,standard,Napoli,4.250258845736512,5.225978930129022,5.640715944194153
V6,retrofit,Munich,6.943700607747417,7.2333352269953295,7.475014666446391
V6,retrofit,Napoli,4.557874567096957,4.756330836922757,4.982829636834064
V6,standard,Munich,5.644625917714886,6.280088889926773,7.500364609470029
V6,standard,Napoli,3.8899703237539898,4.859627380475596,5.389605797187555
V7,retrofit,Munich,2.61750048613551,2.8949948726567407,3.7472955533704617
V7,retrofit,Napoli,2.0113729042599244,2.553085452548827,3.3340143904540613
V7,standard,Munich,1.6441893301629513,3.33726865125974,4.861140932697722
V7,standard,Napoli,2.0554431798155695,3.2016558908950854,4.183301462940451
V8,retrofit,Munich,4.258205820934207,4.449455345701564,5.261026018915785
V8,retrofit,Napoli,3.421878568511918,4.115626110141783,4.399709894036392
V8,standard,Munich,3.1693878138994687,4.23849342571738,5.419511733867715
V8,standard,Napoli,2.9415797207129906,3.8040241075560814,4.501369250336408
