variant,sa_retrofit_state,weather_label,p05,p50,p95
V1,retrofit,Munich,117.15,325.0,454.55
V1,retrofit,Napoli,2392.8,2628.0,2785.35
V1,standard,Munich,5.75,16.5,80.5
V1,standard,Napoli,1902.45,2035.5,2330.7999999999997
V2,retrofit,Munich,111.45,216.0,300.25
V2,retrofit,Napoli,2158.95,2313.0,2452.9
V2,standard,Munich,7.5,22.5,60.0
V2,standard,Napoli,1732.35,1866.5,2103.95
V3,retrofit,Munich,108.15,212.5,307.4
V3,retrofit,Napoli,2168.55,2336.5,2485.05
V3,standard,Munich,5.75,16.0,52.25
V3,standard,Napoli,1755.75,1894.0,2127.2999999999997
V4,retrofit,Munich,82.3,168.5,270.85
V4,retrofit,Napoli,2124.25,2279.5,2420.45
V4,standard,Munich,3.0,10.0,32.0
V4,standard,Napoli,1757.0,1879.0,2091.2
V5,retrofit,Munich,101.45,238.0,333.74999999999994
V5,retrofit,Napoli,2251.15,2427.0,2559.25
V5,standard,Munich,6.75,22.0,64.25
V5,standard,Napoli,1878.4,1995.0,2222.75
V6,retrofit,Munich,69.0,208.0,296.74999999999994
V6,retrofit,Napoli,2212.3,2370.0,2511.0
V6,standard,Munich,2.75,10.0,35.0
V6,standard,Napoli,1869.7,1969.0,2160.25
V7,retrofit,Munich,71.3,162.5,272.5
V7,retrofit,Napoli,2184.85,2352.5,2516.15
V7,standard,Munich,4.0,10.0,41.75
V7,standard,Napoli,1791.4,1925.0,2161.0499999999997
V8,retrofit,Munich,106.15,210.5,306.7
V8,retrofit,Napoli,2169.55,2335.0,2488.4
V8,standard,Munich,6.0,16.5,53.5
V8,standard,Napoli,1757.05,1894.0,2127.0499999999997
