variant,sa_retrofit_state,weather_label,p05,p50,p95
V1,retrofit,Munich,52.1604095703125,59.05065234375,61.2292654296875
V1,retrofit,Napoli,22.20322275390625,23.991767578125,25.895925
V1,standard,Munich,58.0911240234375,61.133845703125004,66.0912421875
V1,standard,Napoli,36.269190820312495,39.533083984375,40.875723046875
V2,retrofit,Munich,61.71245180664063,73.50004541015625,77.81636743164063
V2,retrofit,Napoli,28.096076574707034,31.339273681640627,39.50843347167969
V2,standard,Munich,73.11732910156249,78.7835986328125,88.275158203125
V2,standard,Napoli,42.99315107421875,47.975211669921876,52.77728488769531
V3,retrofit,Munich,60.89368714599609,72.0410576171875,76.76003488769531
V3,retrofit,Napoli,28.12223374633789,31.19279296875,39.64408911132812
V3,standard,Munich,70.59907141113281,79.25722729492188,89.01087280273437
V3,standard,Napoli,43.38908796386719,48.12585192871094,50.985253576660156
V4,retrofit,Munich,60.90258751220703,72.07866992187499,77.3449111328125
V4,retrofit,Napoli,27.823581414794923,31.656177429199218,39.92531252441406
V4,standard,Munich,69.57580114746094,79.3078095703125,89.99268212890625
V4,standard,Napoli,43.61787673339843,48.05635388183594,50.91569168701172
V5,retrofit,Munich,73.41497729492187,79.51072265625,84.13440544433594
V5,retrofit,Napoli,28.473073498535157,32.33916790771484,39.41191133117676
V5,standard,Munich,77.95012780761719,83.60891625976564,92.41922137451172
V5,standard,Napoli,44.43255083007812,49.207314636230464,51.514769467163084
V6,retrofit,Munich,69.55571102294923,77.45138403320313,82.80379887084962
V6,retrofit,Napoli,26.83259240074158,31.200889938354493,38.890824673461914
V6,standard,Munich,74.74932861328125,80.54178625488282,90.6427266845703
V6,standard,Napoli,43.66357451171875,48.51859362792969,50.749291961669925
V7,retrofit,Munich,62.32106855468751,75.10916040039064,80.25899768066407
V7,retrofit,Napoli,28.546234259033202,32.26824371337891,42.84879389648437
V7,standard,Munich,73.26368908691406,83.1754306640625,94.22210998535155
V7,standard,Napoli,44.51354549560547,48.988148681640624,52.2723204711914
V8,retrofit,Munich,66.46875939941407,78.23841772460938,82.6660064453125
V8,retrofit,Napoli,30.049992559814452,33.16168347167969,41.6344418334961
V8,standard,Munich,76.6591533203125,85.61145678710938,95.29486706542968
V8,standard,Napoli,45.04363418579102,49.61408081054688,52.43066741333007
