,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,105.72763530731517,-130.74654717139813,-3.0808746394684423,-13.530785015416622,-6.426375123709091,10.203331178730005,2.7898852706665638,161.09140611879818,58.44958225659859,139.02931854726003,126.66764084237805,38.99450680382008,1.6330191675933157,0.0,-30.96211914395113
V2,131.9496828729247,-151.35310405843055,-4.029270062835014,-23.997148456920375,1.3705885655927705,9.450707848689403,17.359161432276103,212.3817097265373,86.65512994851706,180.43966999802402,173.35248460869224,59.591184513902256,2.109799958113861,29.469871860130866,-1.4922472838202667
V3,128.28199037120126,-155.52473270002076,-6.331088640412141,-21.754917144356543,-5.55128668180568,9.431770774327553,11.26547472374738,209.4447350413762,77.81563580229331,184.79502044815925,172.82834087179899,58.212411244642254,1.872727636931349,30.96211914395113,0.0
V4,129.91432687001787,-155.07818722620217,-6.409582816472612,-22.526996047953055,-4.58149980638978,8.779780676499621,10.684154833381735,209.47528777765842,78.94842007901875,184.38477528804535,170.54783678684097,58.36968414444055,2.513562690195735,31.997351310656725,1.0352321667055948
V5,127.89787001556536,-149.53994724869906,-2.670416525049819,-24.581859220781816,-3.0213842028839863,16.802708389348947,11.879338272853376,199.86785149326454,75.56055898520607,174.7105768389119,159.81282855550864,52.0829145097757,1.4629889716187485,24.93703640255344,-6.025082741397695
V6,125.69885147420185,-147.87338722912443,-2.884985086738394,-26.69769873020961,-1.8778538793539483,17.21546303923696,13.175904137741629,199.47595194945202,77.23389661490828,173.70963409693206,157.7747082603445,50.45492309148905,1.689786377828692,26.565130671340828,-4.396988472610305
V7,128.7052450480782,-156.24483667195247,-6.938631716376084,-20.708630360125927,-5.549006485698832,8.107937587269843,13.42925526136023,211.49887982642994,77.75498127372916,187.85199314910028,175.83793650394455,58.00872060178033,1.9297781922219193,30.416970576449444,-0.5451485675016884
V8,131.2669707858197,-158.76387085187173,-6.343013554585385,-21.56321813682359,-5.633506652843149,9.396562346474763,11.282104743949356,212.39118396474976,77.47894620286938,185.7322619145785,176.11364284417417,60.25074060564691,1.8728941737141813,32.362734632906225,1.4006154889550964
V1_20HH,104.14684939446734,-140.8740441920936,-1.003164799791848,-0.5897854161958676,-0.22724123804616103,-1.4576472758841847,0.0,150.77092694863632,45.02723504737882,128.13409700783964,125.72512908931479,40.117257696094036,0.9918810604538075,-5.537987061588545,-36.50010620553968
V2_20HH,123.29290445166326,-143.26205804964303,-3.5719218133218384,-24.903787653860608,-1.9996925127406866,9.588154363696857,16.515672646078833,200.2878634850133,83.10692618478696,176.74655109411128,163.07212932497671,50.79782961093421,1.7450873674335081,15.551548319916824,-15.41057082403431
