,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,156.5219715686087,-82.87767542858978,-4.023542214702936,-16.98839146593818,-8.361921063406992,15.240755909408167,3.812367892332368,217.505304547733,86.53029858818184,80.23587917008132,80.29213659675362,144.3603875573959,2.0088493073028992,0.0,-29.480621470890735
V2,147.2604790605681,-74.5205951299579,-3.79491953591753,-22.717461271595823,1.3601170636833508,10.349093028055687,17.603851254521967,205.13415616816604,96.71016762930665,81.44326502235722,85.3522654897744,115.15365328507843,1.7149929872801277,39.79016390975837,-1.4208451660152157
V3,143.99364166380354,-76.1335896461047,-5.846941592789467,-20.008654970963946,-5.395623351286714,10.272155067185633,11.61211108116688,199.42307321145037,87.346296585619,85.01379062325891,84.60417680659283,119.40027543373323,1.6491008363980684,41.80499330226175,0.0
V4,145.0234946273183,-75.46762227580068,-5.862034572723887,-20.426710896590247,-4.398798254003782,9.379154158526664,10.829659009444097,197.50535839017272,88.13020127195206,84.00374489085662,82.99580977052811,115.78642680398296,2.1152227075571712,43.202761768761185,0.985697635851261
V5,154.32953076165217,-78.24651931448444,-2.637838420673468,-23.49926354636541,-3.0365318104330683,20.519124108472493,13.224939173866707,201.88622028045594,91.17607361917602,82.8911436144844,83.62178672882864,125.2778602374651,1.1267202569967538,33.66993825390885,-5.736790263099391
V6,152.15198932439628,-77.88639415665742,-2.8100151009928034,-25.318611386265,-1.8679035839565212,20.93026723221175,14.58848696535897,198.23039372678934,93.4876562149405,83.38882072020084,83.10151911564883,120.1753958090919,1.400387409731436,35.86818798241313,-4.186598216040345
V7,144.88311893542092,-76.32255533973365,-6.401290240004845,-19.210868060866936,-5.3701945551394275,8.7627429279153,14.141266171559202,202.42966915598862,87.52855561943036,86.35321277728208,85.89340246695,119.67561967797292,1.6927793784072271,41.06893476223775,-0.5190639080353565
V8,144.94540901426558,-76.0040772525434,-5.7782446276090855,-19.594525320490735,-5.396903356001977,10.06683845136125,11.4548493340162,199.56711560152073,85.55250022256429,83.72729193720859,84.30982971210194,120.20157168602911,1.6294765417545807,43.69610162280611,1.3335978349601596
V1_20HH,153.60862203024234,-84.4141989642301,-1.442813304432605,-0.8606837134077482,-0.33161693597386427,-2.0964779498363892,0.0,220.02253313938394,66.41172123471964,74.51953825225895,75.33670324163643,154.23631180478228,1.1091758544960821,-7.4773794048574045,-34.75362295745979
V2_20HH,162.43963452249298,-79.25607055967541,-3.90181313449628,-27.485358506655075,-2.26128035640975,12.346347490844972,19.284982576666586,223.4987536755778,109.4942063031469,88.73101386713523,90.2154859706001,135.47385256677464,1.506939230247654,20.997670422082038,-14.673194783647888
