,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,,,,,,,,,,,,,,,-99.99999999999999
V2,58.21883980941003,-19.044108999882386,-18.960122180283175,-6.768350683473575,23.64626116351372,38.89199690069061,3.3243062801128285,55.97891886888507,28.3818353143339,20.998569070113554,50.20935184718513,75.95285590883503,0.03830516663439927,,0.3569413125312795
V3,48.24361597876607,-18.872142587742484,-18.708565927152037,-1.1098382907941091,25.240548609454308,38.22052389624234,4.4287990629833835,57.15114618337527,25.015959137576182,20.98578996097912,49.18096119039449,63.304089010783535,0.035682670218252,,0.0
V4,55.25469650774208,-26.150770447724803,-20.477612281785525,-1.057877124727896,35.84886415189706,36.74233109633688,19.88672644992998,57.049091981371866,25.773958513626845,13.44531248325083,51.86877028131437,69.19645199825902,0.04250649315900326,,-8.643460449648714
V5,47.80537467377386,-17.87326899576141,-17.493405261784048,-2.340899331171605,26.713341456342107,26.7002923713448,-3.451317257762295,64.02198356169475,23.02635651870175,21.71131368384243,49.28684368124707,55.6331561544684,0.05857023384807167,,-0.033673708729602674
V6,41.83466039617555,-21.022019419011635,-2.046740351143618,0.20316179854387623,17.675202060950642,7.26597951757385,-2.4478741898098466,44.22904178579329,36.16442197093468,16.376352214256077,44.09843481184126,54.759050662426816,0.6036592440131674,,-6.6697166531584635
V7,-11.209813992034169,-8.785774258979812,-1.8929278194134074,-1.075652980116807,5.8840666713756455,-5.301700281495676,12.76406225920789,45.29929842922645,48.096099958147455,37.830040549778786,45.38520354431694,49.005165547411416,6.330308223864312,,-60.72472788159868
V8,-11.090565496124773,19.900343577891558,0.023909692582399413,3.11989034992918,9.459968953870236,14.13810244277364,9.67916270854981,39.0487666644543,32.03193474308678,41.18995794735751,39.486435803130135,14.578854775806589,5.512309409018622,,-54.51703773545501
V1_20HH,,,,,,,,,,,,,,,-99.99999999999999
V2_20HH,58.59026947948557,-19.225385416677796,-19.16655423637345,-6.709388624977772,23.85920598150944,39.1086424539728,3.227069448553657,56.09649571140497,28.417442546040412,21.096310905056896,50.33836198043659,73.80172800484031,0.0749775473418093,,-0.036924963365543434
