,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,-8.02679443359375,7.110153198242159,5.948532104492216,0.5511016845703125,-5.9715423583984375,-6.150314331054716,-0.1046600341796875,9.035868835449214,0.7380310058593764,2.5347137451171378,9.056855773925768,7.554641723632852,0.12172086716946844,0.0,0.10201070512326282
V2,-8.176292676003271,7.309198886495551,5.944759552805607,0.8409023940698148,-6.237110528636379,-6.077796526763109,0.25726206224507564,9.073370673452391,0.912816406917365,2.2061605043148766,9.058247566080937,7.829083144911536,0.11077299767971284,-0.15359452581861888,-0.05158382069535605
V3,-8.139195033459686,7.29414077535435,6.123754515481465,0.5406582285673096,-6.232543527348923,-6.123754515481465,0.20320941414050253,9.015834831946684,0.781375559895082,2.2739195304396524,8.937638517650054,7.848169477608938,0.11222104096719507,-0.10201070512326282,0.0
V4,-8.149928987730249,7.3813593872963,6.029973212842322,0.4466918835270235,-6.135643810595553,-6.045632076384152,0.1955785457277841,9.104764245860956,0.8343573739970296,2.3363583114271336,9.014511643404106,7.910788957730716,0.1242439156365189,-0.35927259970489445,-0.2572618945816316
V5,-8.151789426257068,7.338951948712349,6.087656547915856,0.42621654744590387,-6.193684129154718,-6.004902278255855,0.3757614949848289,8.977416368648964,0.7572218090063103,2.256001142265408,8.94507865519245,8.093352632266487,0.1377667405572689,-0.07119135496918716,0.030819350154075664
V6,-8.139130916616665,7.352708621996783,5.678100903621271,0.3976907349114924,-5.914406881350004,-5.8804893240001945,0.3882563300377342,9.118163979738924,1.0384837235705504,2.4434457458314647,9.017624958156762,8.0651068066541,0.18810567255807553,-0.3362398074568489,-0.23422910233358607
V7,-7.910736887320866,7.0204525367337,6.07335081266973,0.493645880808657,-6.188497341767146,-6.082831006908975,0.18128563067799064,8.854686147131154,0.8232802524210143,2.131489884889419,8.821433020223278,7.915057037200967,0.11295864821133825,-0.47031890372116436,-0.36830819859790154
V8,-8.139955824669872,7.2648592434127295,6.1906135375235465,0.5679329561825455,-6.290028926928812,-6.1906135375235465,0.12914821491938255,9.014091479478182,0.7712288653503023,2.263477935272668,8.955939368056825,7.842480971839592,0.11220605238870057,-0.11340704600976892,-0.011396340886506096
V1_20HH,-8.599060058593803,8.370849609375,7.29937744140625,0.0096282958984375,-7.0953521728515625,-7.1920318603515625,0.0,8.728282165527343,0.14441833496093892,1.675267028808598,8.92388916015625,7.49151611328125,0.02294129715143295,-0.6441497802734375,-0.5421390751501747
V2_20HH,-8.036839035521695,7.141766238862402,5.792995200527145,0.6616217537730336,-5.986748688163345,-5.951113705083344,0.23898981851078815,8.927682464335518,0.9838857335926292,2.2478293335092445,8.952289167479972,7.737730794361838,0.12395319437148246,0.43317246203517357,0.5351831671584364
