,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,-22.58485097134212,25.316233561896162,20.400368275515568,1.5718751294772122,-16.99754942306637,-17.4337872746377,-0.2965921180785153,28.05949188637587,2.0765849203516993,9.21251173504772,32.24761404097436,21.464791526614103,0.3738308656939348,0.0,0.31778512798161024
V2,-22.908954778288344,26.175635071399828,20.435273708300457,2.4092984419759707,-17.65497046987809,-17.293791110143157,0.7320146940490679,28.310981233929642,2.5575979989468274,8.01829476215887,32.43931193529367,22.220961857230186,0.33225872345246676,-0.4769640229937032,-0.16069461574298977
V3,-22.91007542436387,26.142129831076343,21.16282127304682,1.542637181627899,-17.714651844304736,-17.46643157586706,0.5796024838494136,28.086250579968503,2.199403373227885,8.302760962727504,32.03240980775912,22.298468693205034,0.343349240979247,-0.3167784531687896,0.0
V4,-23.133469721441042,26.74820130509715,20.976143836605203,1.2833267411108529,-17.600461386238386,-17.38630277664287,0.5624536474724566,28.592431798724963,2.368312788648828,8.627582527934873,32.66633684303443,22.61706393617408,0.38704320819597915,-1.1156654418075647,-0.8014257326780491
V5,-22.929206367705635,26.218750786541776,20.97546290906799,1.2109505114198322,-17.61617595805584,-17.17863889211403,1.07496687419536,27.93974423470842,2.129899855963912,8.233520184507562,31.956713937560824,22.907755390659222,0.44279813062699613,-0.2210737322017249,0.09600885633707434
V6,-23.14952776813194,26.543238055995886,19.60600811713694,1.1431400292355371,-17.062117950065836,-17.01702535787176,1.123540482701186,28.613815199441085,2.953682406861052,9.04316098178376,32.55357695638461,23.007939473961684,0.629464358186132,-1.0441406710329912,-0.7296736668191314
V7,-22.53314482131286,25.29465617246179,21.209484696612776,1.424107870515436,-17.80187974762858,-17.52073371765844,0.5221675989911939,27.90440159189891,2.3450524800114336,7.837403708847176,31.78358005091844,22.760676860299952,0.3301898212621256,-1.4605025485982641,-1.1473586805098914
V8,-22.914326607544936,26.019748845880954,21.402999406212647,1.6207323570152485,-17.860195312879444,-17.629712207190636,0.36779001746762785,28.090792467823494,2.1710425081477447,8.265852394028839,32.076504888525264,22.28900901557165,0.34357973087404414,-0.3521680256009125,-0.0355020352301684
V1_20HH,-24.453588049024297,31.204598098141286,26.209154280144023,0.027396741637350834,-20.186000791115873,-20.523728976368243,0.0,27.657565433616842,0.41068982491073736,6.306113863786038,33.2662020833781,21.284807004610933,0.07857119022920829,-2.0003074261419105,-1.688878977674491
V2_20HH,-22.303842409487217,25.02750155249101,19.552281875333797,1.8694914893463177,-16.804981645854713,-16.77573472422603,0.6736940337240216,27.355562502823872,2.730480510310264,8.028939961516073,31.37227172436023,21.688021212070506,0.40178423543179076,1.3451500243333436,1.6672098390413264
