,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8072180537352365
V2,2.8251235503854257,-0.9526738093985472,-0.905254751100296,-0.35200519646674167,1.0493739702538019,2.128187190233172,0.16693336949232052,4.350037802818261,1.7764158771620617,2.514123504328653,4.267849791184666,4.958505557996071,0.034841596796335,5.72192635006617,-0.0852917036690668
V3,2.4810393809891247,-0.9452548471709239,-0.9178323265679191,-0.022800021894907374,1.2117241505767815,1.9922469154012186,0.3287635736168486,4.221871738893205,1.5376115943291215,2.534947392516262,4.1980617011577195,4.261753134090137,0.03796555675900037,5.8072180537352365,0.0
V4,2.437248688911061,-1.4558863601188232,-0.8239167980537658,-0.19191063823336307,1.4808025519035013,1.7950613202331356,1.030824769020842,4.09194191239384,1.5188774222966228,1.8667793199904725,4.176701498320082,3.789106724537369,0.04092453849287442,5.222155094310012,-0.5850629594252243
V5,2.374129336387271,-0.7829042540716671,-0.7645647815068202,-0.04627895279026539,1.1720862282477595,1.3519072535375187,0.11831114670686205,4.328595119616086,1.523106387934856,2.5454687523686745,3.684565325222011,3.7603906562455993,0.027530888543280736,6.23040107907314,0.4231830253379032
V6,2.0088384319366863,-0.7060259011439207,-0.24084192421212958,-0.043593783858105084,0.9479327585555302,0.6184973523519055,0.6405828741774844,3.1676975239358702,1.4272910093828481,1.8274138500369084,3.2219507569878116,2.8513268195471113,0.05319206917902724,5.603311001172746,-0.20390705256249042
V7,0.2524358955995485,-0.6017717636416808,-0.08469273741693506,-0.2154898110650847,0.6538769752790698,0.5908645718708101,1.614936798134015,2.4946856001144315,2.0874594329739926,3.1527275890972564,2.6444277772619698,1.6376546279111288,0.07379555471956807,3.021848567339564,-2.7853694863956724
V8,0.42058182415823175,0.28209253386702304,-0.007843992914487785,0.2268729251808903,0.14130887276586623,0.9252247474547621,0.8077637492052441,2.1433856486457765,1.487645209819374,2.210205831049839,2.206879800814579,1.7824279172087678,0.03712035075654853,4.154559341498589,-1.6526587122366472
V1_20HH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8072180537352365
V2_20HH,2.759522322119273,-0.8563704502091394,-0.8111057897610685,-0.4310308917310781,0.9862562009099287,2.130833178510298,-0.04437413829031556,4.269940230482013,1.804475955812907,2.547964086533682,4.123288484975474,4.590057055191724,0.04230335833573096,5.8244939376714395,0.01727588393620305
