,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,,,,,,,,,,,,,,,-100.00000000000001
V2,68.16149454794456,-15.365452567612335,-14.706370678338684,-6.834446746335286,19.812141799862914,44.792134902554885,3.5894753371880688,76.0240089907476,42.85942153204057,36.07129287855823,68.8351489095132,94.49400547507045,0.5343460167364403,,-1.4687188061451675
V3,52.82709654009627,-14.998215945345319,-14.62674925274434,-0.4270117791384306,22.538928607525747,39.82338678423031,6.766474438865304,72.70041696088325,32.7393256057115,35.31763977535609,66.610011188297,79.55196975044063,0.6328680080878524,,0.0
V4,61.83762946213596,-25.828744157511846,-14.708350214281385,-4.016734620663372,33.77813827684429,40.89417683784448,28.09469468173856,78.3573417199417,38.53680572922864,29.26620833888227,74.0984718158917,90.63105149399452,0.876937704889012,,-10.07475445233038
V5,44.01988994366692,-11.782106063888612,-11.537955298628356,-0.7904389215517343,20.019091149717568,23.35383263644344,2.1344059725119315,69.47538472531251,28.24065839286341,32.77101353155422,55.44987044752735,64.1490980536661,0.45435857368617083,,7.287190207464474
V6,41.78699799198272,-12.557905375081926,-4.293749333462429,-0.8253305084218608,18.707791057254518,11.305009400400781,13.753803594321097,56.53260230019155,29.68989720370694,26.80999101674957,57.30802887524478,57.99933568044926,0.8858694218237664,,-3.511269090908963
V7,8.574355286779415,-18.160854121478398,-2.72627108763241,-6.503261302483092,23.64278220027374,23.40227704689568,74.08583916098962,82.55495086938632,70.90362003608067,98.63011799676033,79.80611587192394,60.390092203490134,2.7124147382975803,,-47.96392111717084
V8,10.826974419550023,7.018372103052364,-0.18797097568707008,5.563524164083917,3.4428308356702915,26.81588932218979,23.202368211214743,51.59116701586544,38.29622610134672,51.33858017265165,54.906464260156895,41.43796635428298,1.0579295321959288,,-28.45869910418892
V1_20HH,,,,,,,,,,,,,,,-100.00000000000001
V2_20HH,65.41866862525316,-13.69515614323842,-13.065860183979094,-8.25036534868502,18.15113360020498,44.56423083135864,-0.9103042433894467,73.31006395019243,42.77784370481322,36.515442770404896,65.94001417443285,85.05272406600774,0.7858671129656295,,0.29748984412753543
