,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,-2.107438180533979,2.013003353331815,0.6952364464054348,0.3077162729661076,-0.7480966537296219,-0.6482667098945001,0.13965283173865117,3.0647038905972472,1.1589551215274696,1.4603343039230516,2.545421592591353,2.7565098224662137,0.020976425100636943,0.0,0.2011343549554887
V2,-1.7160166296060986,1.1723291957884214,0.46651559121118424,-0.23410003309567884,-0.7317310077168067,-0.6574489541521018,0.048925767447428825,2.923005582551639,1.2795210289926935,1.300308339821001,2.7345637757544736,3.031892712487302,0.016419375189877662,-0.2747178838563933,-0.07358352890090458
V3,-1.7725462023996066,1.0360916583449686,0.49161806296514143,-0.06420735663425603,-0.8895986139671201,-0.5063124451791303,0.05262473019969249,2.942204285206394,1.1642548553596086,1.523878950870813,2.6359582599515647,2.970758834555145,0.012135224148267046,-0.2011343549554887,0.0
V4,-1.757433175878198,0.9561701578191268,0.4181916673690118,-0.040965037479683275,-0.8853566325508204,-0.49327886084578054,0.04266170154269133,2.904842996241129,1.1433429278626193,1.5718324683809222,2.6001301924605187,2.9806638339455986,0.013782737247954983,-0.20901511849182342,-0.007880763536334712
V5,-2.1337644916497425,1.5708164881811264,0.6599421000596912,0.12671391955881006,-0.5946900384281619,-0.8257800998093288,0.054743718840263966,2.989423704311804,1.1089325229429932,1.2497833044478135,2.606993679121235,2.67116602927646,0.026621028138764442,0.002410069510506929,0.20354442446599563
V6,-2.137274575547771,1.5487245910495844,0.5525978031986085,0.1237148718258716,-0.5191530963735573,-0.7664607197093503,0.061054648057723426,3.0815760597426376,1.1635933023222513,1.3501687820335952,2.6177522775598767,2.683088110440181,0.03542698573778597,0.026329520275648832,0.22746387523113754
V7,-1.7793963517146878,1.006903526411115,0.48655251058837834,-0.05634006078176057,-0.9000047875265906,-0.5197952877794378,0.02725061540375151,2.9214586315036506,1.1377080560236514,1.537637827602385,2.6248394659104335,2.9442286154258497,0.0136233549983024,-0.1406883563587975,0.0604459985966912
V8,-1.7501615631070848,1.0217688808765146,0.47893332942197375,-0.060971132232623404,-0.8603599279554643,-0.4854035080695027,0.05523717387115212,2.917944657633683,1.1599386760440922,1.5188061120623502,2.60820970473236,2.9291782502974435,0.012169262700572538,-0.17829023576286573,0.02284411919262297
V1_20HH,-2.1525554467575603,2.6873213479867495,1.7793756368946418,0.00498158272345961,-1.6441912999940662,-1.6941628344539836,0.0,2.780515754246,0.6383859272784775,0.49232722599067813,2.4536052660751047,2.6297393979961967,0.007601090336184039,-1.0781033335993655,-0.8769689786438768
V2_20HH,-1.855866207162844,1.5195283652458187,0.4750632492454514,-0.2204429724921546,-0.6642604264206291,-0.7781737051739199,0.0508743427484184,3.1220450812283147,1.2761437051178781,1.2712682045273525,2.79954359057632,2.8232701129571787,0.026668068877940362,-0.00416905991126626,0.19696529504422244
