,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,-8.981991972124261,9.229864378454584,3.104285713445298,1.3291360539665715,-3.232340503092511,-2.8131342081644206,0.6060193316034453,13.464921055811482,4.939516467797139,6.838215439524395,11.671066541802942,11.57094878261257,0.08911611203104941,0.0,0.891572034842199
V2,-7.363255434416961,5.283630294963068,2.0927545882407594,-1.0146164595094755,-3.1781683142645556,-2.878666785694542,0.2124060613930497,12.999262128768796,5.490296543538664,6.022980230837576,12.324545068902763,12.978838203973577,0.07337301133959058,-1.2069859767186364,-0.3261750913093277
V3,-7.594234843545966,4.640196824777675,2.1937482576150713,-0.2776187117383194,-3.8480401426457127,-2.2270234737687256,0.22803359640636953,13.04196422368231,4.9880927094425225,7.065418021030015,11.805292562254449,12.71472802535056,0.053883491777479864,-0.8836932727485908,0.0
V4,-7.537345639231202,4.278649904915469,1.8632806348174193,-0.17732647086854622,-3.834352704834349,-2.173222080312386,0.18501253094541725,12.880851830850608,4.9036122395748025,7.29087259776661,11.635007336051476,12.790548402110218,0.06025047493577322,-0.9183177789535231,-0.0349332086194577
V5,-9.065826045094175,7.115585686356814,2.9388518483477566,0.5451528048358596,-2.579947577175026,-3.5824870606770522,0.2360762404228914,13.13278340948498,4.711574022386931,5.839403564073393,11.809327854113262,11.296227174519725,0.11967888047167718,0.010588754038377888,0.9022551952504213
V6,-9.085500564529092,7.010959494761952,2.4544775910724095,0.5330288967552687,-2.253951544332249,-3.3276606359982583,0.2637494226917633,13.523405852154466,4.946405916245734,6.3131113652651765,11.850367257909413,11.350367949486612,0.15157388464613547,0.11567998886832416,1.0082833941411817
V7,-7.603031793091138,4.496408719424971,2.1652965586532487,-0.2431505054056575,-3.8834041989972894,-2.280258292802701,0.1177450730749357,12.915399039778677,4.861216284313648,7.110668696217523,11.7214318472767,12.581953730047015,0.05830292028065413,-0.6181209276547467,0.2679401138549754
V8,-7.495490368765461,4.570249427982918,2.1344865608466215,-0.26349939692904834,-3.7198493926879537,-2.1333366421449904,0.23925169473623034,12.92134376285926,4.967718042677118,7.031716287219717,11.666208605694628,12.529244612077973,0.0539836077633438,-0.7833265578884897,0.10126155642208352
V1_20HH,-9.539307683547253,13.134170689286433,8.567771536409232,0.02209360882154234,-7.292083947293019,-7.542214424169466,0.0,12.823749335041372,2.8290838177149644,2.4118842182602362,11.991893114273497,11.360618316114111,0.033695702994209084,-4.736697832851209,-3.8873568712616873
V2_20HH,-7.878028812093294,6.821611049201763,2.105321954966669,-0.9458703044572085,-2.859600406997688,-3.3708489947692915,0.21876770076415503,13.719365251529547,5.417145286922066,5.857939252799472,12.567976963765307,11.865101262649793,0.11405379521032102,-0.018316961307217466,0.8730917646303336
