,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,-2064.0,2333.0,1525.0,197.0,-1525.0,-1586.0,-42.0,2631.1,832.9999999999998,366.25,2284.25,2648.0,17.61972484282811,0.0,-241.5
V2,-2237.0,2254.5,1633.5,255.5,-1609.5,-1785.0,-96.0,2555.1,582.25,386.9,2371.85,2505.75,24.938247445656174,115.5,-126.0
V3,-2310.0,2328.5,1677.0,275.0,-1677.0,-1815.0,-95.0,2689.5,655.0,454.15,2497.6,2607.0,30.881224843203285,241.5,0.0
V4,-2289.0,2319.5,1641.5,252.0,-1639.0,-1754.0,-73.5,2693.35,717.5,472.65,2448.1,2624.75,21.37611663779954,239.5,-2.0
V5,-2481.5,2595.5,1542.0,264.0,-1488.5,-1655.5,-89.5,3116.8999999999996,782.7999999999997,847.1,2722.9,2804.5,25.8422143511307,693.5,452.0
V6,-2539.0,2825.5,1201.5,291.5,-1135.0,-1344.5,-116.5,3413.6499999999996,1049.75,1239.1999999999998,2783.9500000000003,2886.0,33.92113466066152,958.5,717.0
V7,-2397.5,2347.0,1739.5,274.5,-1739.5,-1884.5,-75.5,2746.35,627.4000000000001,444.4,2568.7,2688.5,26.92641079497477,218.0,-23.5
V8,-2312.0,2322.5,1683.5,277.5,-1682.0,-1820.5,-95.0,2690.5999999999995,648.1999999999998,446.25,2498.6,2619.0,30.739157262908865,243.5,2.0
V1_20HH,-1835.0,2278.0,1770.0,3.0,-1734.5,-1690.0,0.0,2299.05,494.0,75.39999999999998,2038.0,2426.75,7.393691004272944,-255.0,-496.5
V2_20HH,-2356.0,2394.5,1634.5,289.0,-1587.5,-1787.5,-111.0,2793.1,647.7000000000003,582.25,2558.4,2601.0,35.62140997264817,363.0,121.5
