,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,-98.99280575539568,2697.1098265895953,407.20961281708946,10.473152578415736,-80.2842853382469,-80.89773017087478,-2.1455938697318007,224.97648567764003,39.95203836930454,1744.047619047619,2640.751445086705,109.44410002066543,3.1350458497903793,0.0,-17.115520907158043
V2,-94.60773947980546,1015.5405405405405,353.57142857142856,12.334057446294956,-77.697320782042,-80.0268997982515,-4.338983050847458,198.84046692607004,24.624656375555087,303.45098039215685,1068.400900900901,101.18110236220473,3.317616850501512,9.876015391192817,-8.929836995038979
V3,-92.82700421940929,865.6133828996283,314.33926897844424,12.548482774355465,-75.86518887129608,-77.28337236533957,-4.064171122994653,190.6094968107725,26.321076953988346,254.42577030812325,928.4758364312268,100.36573628488932,2.544636617890898,20.649850363403164,0.0
V4,-93.33333333333333,843.4545454545455,296.5672990063234,11.559633027522937,-74.75484606613455,-76.01300108342362,-3.2047089601046435,191.15330021291697,29.25586136595311,289.08256880733944,890.2181818181818,101.16592792445557,2.2714068584959772,20.478837109876014,-0.14174344436569808
V5,-85.31889290012033,467.65765765765764,138.98152320865253,10.161662817551964,-57.29407236335643,-60.16718153734327,-3.21826681049982,167.30542136339236,26.914216950318025,198.38407494145198,490.6126126126126,89.01761625138867,1.6623945474457607,59.29884566053869,32.03401842664777
V6,-83.49227227885564,423.2958801498127,77.36638763683194,10.844494047619047,-42.22470238095238,-46.61927877947296,-4.005501117414475,160.4158834586466,34.519894771456755,246.85258964143424,417.07116104868913,82.62238763240767,1.9395721141865434,81.95810175288585,50.815024805102766
V7,-94.53864353312302,1009.4623655913979,336.46034816247584,12.205424633170297,-77.08841125637049,-79.16404116782189,-3.1796167614234574,197.93513513513514,24.739747634069403,320.8664259927798,1104.8172043010752,104.22562512114752,2.2137296725865,18.640444634459172,-1.6654854712969525
V8,-92.79550471603451,852.2935779816514,318.5430463576159,12.648131267092069,-76.09138204026239,-77.50106428267348,-4.064171122994653,190.417551309271,26.016455950230778,248.60724233983288,916.9174311926605,100.92485549132948,2.531661102113268,20.82086361693031,0.14174344436569808
V1_20HH,-99.72826086956522,37966.666666666664,3277.777777777778,0.16447368421052633,-95.09320175438596,-96.90366972477064,0.0,251.39967195188632,26.847826086956523,1507.9999999999995,33966.666666666664,106.25,0.6172374548258397,-21.804189824711415,-35.18781006378455
V2_20HH,-90.73753129212402,655.1299589603283,237.57267441860466,12.620087336244541,-69.32314410480349,-72.20763482124823,-4.518624058619988,182.25774877650898,24.94511842865397,242.0997920997921,699.9726402188783,94.23913043478261,2.8313144610154026,31.038905515177426,8.61091424521616
