,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,21.242652343749995,-32.554527343749996,-11.477814453125006,-0.528201171874997,11.536599609375003,18.242863281250003,0.6867968749999989,41.832434765624996,18.03624755859375,11.023889843750005,28.965379882812492,38.48704492187501,0.24561855660714424,0.0,-9.3389208984375
V2,31.163107910156256,-35.44693896484375,-17.44551025390625,-0.7015029296874999,12.229475097656248,21.188655273437497,3.3330715332031247,57.5888598022461,22.849116284179683,18.01353017578124,43.984104345703116,49.39150799560546,0.31042112002064065,11.2242470703125,1.8853261718750005
V3,29.932119873046858,-34.19073120117186,-19.608074340820316,-2.167877685546877,10.057540649414065,21.201666381835935,2.230874633789057,52.41303491821287,21.203696942138667,18.379418554687504,40.13016550292969,47.77649282836914,0.31002445851412347,9.3389208984375,0.0
V4,30.43548718261718,-32.3297998046875,-18.544817382812496,-2.4953863525390645,9.88718469238281,21.822575195312496,2.053154785156252,53.488730401611335,21.257150408935544,20.629354028320307,40.72843123779296,48.555268127441416,0.3583593303447332,9.393016357421871,0.05409545898437074
V5,34.78553350830077,-39.02565872192383,-21.571967773437507,-1.8953570556640642,22.688951110839838,29.37120422363281,2.4967540283203107,57.12714924011227,22.127925015258782,18.784248132324223,45.772176708984375,54.70016423034667,0.3303595893910325,15.306981445312495,5.9680605468749945
V6,33.23672161865234,-36.69516889953614,-18.725005798339836,-1.5495822143554605,19.60397912597655,27.618336914062496,2.731035247802737,55.218260263061495,23.087588009643557,20.266334027099617,43.03473156738281,55.18090120506288,0.3380075358861506,13.07273767089844,3.7338167724609406
V7,32.601631958007815,-34.17044470214843,-20.495091430664047,-2.3494374999999934,10.85269311523438,22.897259399414068,3.1093304443359386,54.775743969726534,21.86101441040039,21.611190600585942,43.348806030273444,50.97454644775391,0.31976143261251466,10.740154174804694,1.4012332763671935
V8,34.70472711181641,-38.25471130371094,-24.094955993652334,-2.0691276855468743,14.301825195312489,25.852767456054693,2.235953247070306,56.737833129882794,20.62189838867188,18.787734497070304,44.843739874267584,51.79966403198242,0.3084686516163484,12.864796813964851,3.525875915527351
V1_20HH,16.7381796875,-29.738244140625,-8.444632812500004,-0.26331835937499903,8.307109375000003,6.656208984374999,0.0,32.01690683593745,16.360595703124996,10.8478927734375,21.097367187499998,24.96359130859375,0.32691767227348395,-2.2959511718749965,-11.634872070312497
V2_20HH,31.721667968750005,-36.70747998046875,-18.268399902343745,-0.45649975585937597,13.012213867187498,21.68218554687499,4.158106689453128,58.86655776367188,23.996790686035155,18.145242285156243,44.606940161132805,49.92576306152344,0.30524634351512064,9.075270019531253,-0.2636508789062475
