,Weather: Munich vs Napoli,Retrofit: retrofit vs standard,YoC class: high vs low,WWR: high vs low,Gains: high vs low,Mean setpoint: high vs low,Setpoint spread: high vs low,Total P95–P05 spread,Napoli P95–P05 spread,Munich P95–P05 spread,Standard P95–P05 spread,Retrofit P95–P05 spread,Seed variability,Variant vs 1Z,Variant vs 11Z/A
V1,54.1698301566946,-56.425538944747856,-21.974037492757613,-1.2974808177805546,28.34759478242992,43.88701232657814,1.7164928288928418,88.79986387855969,45.993336947896694,18.23409458739043,50.204604519955694,153.090014475108,0.554594614995894,0.0,-16.544410067323753
V2,66.479181313553,-48.58617258356255,-24.93587745634767,-1.3793352673509414,24.67228450030663,40.567011235931524,6.804051353358352,98.72446428482043,48.743230254495536,23.082550738275764,60.2878371752565,131.67590188966875,0.5792060061702542,23.826287366904623,3.3399586137812127
V3,63.606103585477754,-48.55072725535801,-27.866123214850326,-4.305552968182347,19.753917284689766,41.43309856787024,4.612475158761084,92.8525631590856,45.058103128579525,23.872262576203813,56.984704672778065,131.86282530487674,0.5919879010149253,19.824208397148897,0.0
V4,64.97776401606943,-46.66694812362886,-26.838988832924933,-4.936301581250433,19.351505077005307,42.794395714255494,4.239101750918806,94.66749388187813,45.382618475540134,26.69590944143867,58.79008219083655,131.4154134071457,0.6933227064490585,19.939039614150104,0.09583306957522915
V5,72.53633549966975,-51.64407677333846,-29.509281278856943,-3.6754949887476154,44.71839729627096,57.646493161296945,5.118194490636927,91.52696156936136,46.1421295273603,22.702317311859275,60.571989953718145,149.69566592652367,0.5370520730576994,32.49291790809969,10.57274625922105
V6,70.62459658463983,-50.66105161456861,-26.935546683250852,-3.0463582187065925,39.236760102994715,55.21188644092377,5.689125863065135,91.7530221903485,49.05873714025946,25.238954419306626,59.413400252310744,154.4060133433571,0.4665787063576284,27.750173572249576,6.614660994738747
V7,68.35382015081794,-46.96953212001035,-28.329119865837466,-4.569116953292374,21.054457852516908,43.58187660603666,6.379166639493714,94.68773968193842,45.83463334742395,26.914057082858797,59.58579570593095,132.12759032645658,0.5987671982824933,22.798678444150855,2.482361525096238
V8,71.59811066605214,-50.076628687873956,-31.603707977038468,-3.9999173506339822,27.37464856768852,49.10859416202097,4.486553371198161,94.60489149275165,42.54431847912414,22.58784717980626,58.70187577239581,135.82296030604945,0.5639940659963965,27.308766805133377,6.246282373239169
V1_20HH,44.24600224360086,-55.49903503511268,-17.655999472074168,-0.6685912902171878,21.092570180785817,16.1666463238276,0.0,71.44602632692855,43.247890015645716,19.879589368366844,39.372987697285446,104.69061355938423,1.0280921501428695,-4.87373380671244,-20.6118133674639
V2_20HH,70.80331571420047,-51.30625566000873,-26.640494903614613,-0.9406650590201978,27.50987984468327,42.98540188394924,8.984147975724877,104.77470577012454,53.56125499909782,23.71177446121442,62.34737653839253,143.30696234133342,0.5993609569875725,19.264543097017338,-0.46707197787327626
