variant,building_id,base_building_group,weather_key,sample_id,seed,run_dir,year,n_timesteps,dt_hours,n_zones,wwr_factor,gains_scale,weather_key_meta,sa_tabula_year_class,sa_tset_mean_K,sa_tset_spread_K,sa_retrofit_state,sa_retrofit_is_standard,annual_heating_kWh,peak_heating_kW,annual_cooling_kWh,peak_cooling_kW,mean_tair_C,max_tair_C,mean_tsetheat_C,overheating_hours_meanTair_gt_26C,underheating_hours_meanTair_below_meanTset,mean_interzone_spread_C,max_interzone_spread_C,overheating_hours_any_zone_gt_26C
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_A,0,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_A\sample_0000\seed_1,2021,8761,1.0,1,1.133071278423135,1.0801060408008996,TRY_A,5,294.16835551224983,0.9950452772842244,standard,True,69209.79453681182,39.37468359375,0.0,0.0,23.45202757172793,35.66594848632815,21.020013427734394,2111.0,2447.0,0.0,0.0,2111.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,13,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0013\seed_1,2021,8761,1.0,1,0.9215800392250448,0.8123271338271758,TRY_B,5,294.41331053736974,0.925296360898044,standard,True,187077.28986709213,64.0529921875,0.0,0.0,21.53957822233859,26.785363769531273,21.260003662109394,9.0,3360.0,0.0,0.0,9.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,13,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0013\seed_2,2021,8761,1.0,1,0.9215800392250448,0.8123271338271758,TRY_B,5,294.41331053736974,0.925296360898044,standard,True,183210.96405233385,63.9090078125,0.0,0.0,21.552833959629343,27.090295410156273,21.260003662109394,11.0,3282.0,0.0,0.0,11.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,13,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0013\seed_3,2021,8761,1.0,1,0.9215800392250448,0.8123271338271758,TRY_B,5,294.41331053736974,0.925296360898044,standard,True,182858.21451300525,64.02723046875,0.0,0.0,21.55013154291861,26.983361816406273,21.260003662109394,10.0,3314.0,0.0,0.0,10.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,13,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0013\seed_4,2021,8761,1.0,1,0.9215800392250448,0.8123271338271758,TRY_B,5,294.41331053736974,0.925296360898044,standard,True,184643.47530509566,63.67730078125,0.0,0.0,21.562661407021373,27.294610595703148,21.260003662109394,12.0,3331.0,0.0,0.0,12.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,14,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0014\seed_1,2021,8761,1.0,1,0.974686955692945,0.8858338691278117,TRY_B,5,294.0836738213191,0.9687277729782862,standard,True,177766.66996497344,61.28395703125,0.0,0.0,21.277007940993617,27.034051513671898,20.929986572265644,12.0,2131.0,0.0,0.0,12.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,14,2,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0014\seed_2,2021,8761,1.0,1,0.974686955692945,0.8858338691278117,TRY_B,5,294.0836738213191,0.9687277729782862,standard,True,173929.01736805725,61.13079296875,0.0,0.0,21.293509733550383,27.316674804687523,20.929986572265644,16.0,2112.0,0.0,0.0,16.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,14,3,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0014\seed_3,2021,8761,1.0,1,0.974686955692945,0.8858338691278117,TRY_B,5,294.0836738213191,0.9687277729782862,standard,True,173559.0593365872,61.258484375,0.0,0.0,21.290496964808987,27.222283935546898,20.929986572265644,13.0,2125.0,0.0,0.0,13.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,14,4,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0014\seed_4,2021,8761,1.0,1,0.974686955692945,0.8858338691278117,TRY_B,5,294.0836738213191,0.9687277729782862,standard,True,175140.06094155883,60.9046953125,0.0,0.0,21.304388502974625,27.521691894531273,20.929986572265644,17.0,2174.0,0.0,0.0,17.0
V1,DESHPDHK0000lce9_1,DESHPDHK0000lce9,TRY_B,15,1,C:\WF\Thomas Sharon\Floorplan_Dataset\Sensitivity Analysis\results\sa_results\V1\DESHPDHK0000lce9_1\TRY_B\sample_0015\seed_1,2021,8761,1.0,1,0.9634114574898545,1.1413612293072664,TRY_B,5,293.7933835247956,1.0197474106288174,retrofit,False,51048.68780176353,52.3379765625,0.0,0.0,21.498139106289827,28.399835205078148,20.640008544921894,154.0,2610.0,0.0,0.0,154.0
