variant,annual_heating_kWh_p05,annual_heating_kWh_p50,annual_heating_kWh_p95,annual_heating_kWh_std_between_samples,annual_heating_kWh_mean_seed_std,annual_heating_kWh_n_samples,peak_heating_kW_p05,peak_heating_kW_p50,peak_heating_kW_p95,peak_heating_kW_std_between_samples,peak_heating_kW_mean_seed_std,peak_heating_kW_n_samples,overheating_hours_meanTair_gt_26C_p05,overheating_hours_meanTair_gt_26C_p50,overheating_hours_meanTair_gt_26C_p95,overheating_hours_meanTair_gt_26C_std_between_samples,overheating_hours_meanTair_gt_26C_mean_seed_std,overheating_hours_meanTair_gt_26C_n_samples,mean_interzone_spread_C_p05,mean_interzone_spread_C_p50,mean_interzone_spread_C_p95,mean_interzone_spread_C_std_between_samples,mean_interzone_spread_C_mean_seed_std,mean_interzone_spread_C_n_samples
V1,22232.40041284215,74355.53591030896,183212.03014935876,61165.46674845029,1672.3462262272694,60,23.662970874023436,46.8622294921875,65.46542929687499,13.904695387708795,0.3185864807494317,60,7.5,1170.375,2625.1125,1093.1667978558087,13.985596251742338,60,0.0,0.0,0.0,0.0,0.0,60
V1_20HH,25100.41497385913,68481.11943052686,173608.54972049373,59746.572406499195,1058.7264727594259,60,23.2314248046875,44.4339482421875,54.81477583007811,11.078953124668523,0.39939727474867426,60,4.425000000000001,914.875,2300.25,1003.9377868537878,5.3716195712507915,60,0.0,0.0,0.0,0.0,0.0,60
V2,35283.84331491352,103706.63247853206,245287.7649108765,76547.94771845703,2067.0656364170304,60,30.449430209350588,57.813447875976564,87.86332679443359,18.966317441266327,0.49424946923597196,60,12.15,1010.875,2319.5875,990.361951432219,11.097107648270962,60,3.793028865117972,5.719510486308008,8.017139022255884,1.5868902690353195,0.04553077224197492,60
V2_20HH,22573.353793940765,89251.15974347618,222083.76860908463,72739.31907946283,1677.6376869628516,60,27.62354599609375,56.019423339843755,86.41703465576173,19.446087690253258,0.40223978972260993,60,32.9125,1188.5,2610.15,1068.2049567915246,24.188694922720874,60,3.8588705015187954,5.820637402830027,7.977053513541615,1.5689268227776132,0.05400179652682349,60
V3,37438.18080169402,105330.52201910666,243505.01327890586,75706.10173007217,1873.275295994571,60,30.72878623352051,56.09466427612305,83.2467705078125,18.42144566867197,0.409237621692438,60,9.9125,1032.125,2334.2374999999997,1002.6006400429575,12.634810306105399,60,4.062787228198837,5.827250792084593,8.147661373084874,1.5105968063208683,0.058900019461848856,60
V4,38568.527863228,105595.72504141509,245572.34236532153,75985.77010222372,2480.33007532675,60,31.167458601379394,56.08500518798828,84.43196338500977,18.391244908951332,0.4678571341638189,60,4.95,1008.875,2277.625,994.9664219769339,12.358693632853074,60,3.4355024001408148,5.201093499321139,7.378754339532732,1.3948218699792214,0.06076760980879741,60
V5,30946.883763082376,99594.86047549313,231573.97545395716,72951.42084471151,1467.059377539433,60,32.06979747161866,62.29665809631348,88.97929932556151,20.559509928208833,0.4213815798177164,60,12.4875,1086.125,2451.9,1045.5386124110257,16.048287188279453,60,4.78229714149673,6.237409648932276,9.043167503826316,1.427897757228616,0.034672505247405776,60
V6,31480.320822425336,100094.68239985741,230620.86752371263,72150.35282606597,1715.0777623290678,60,31.280225643539428,60.02484196472167,86.09761207580566,19.651488883504673,0.4192895108718594,60,4.725,1056.0,2391.6,1036.085079110138,19.895392230295503,60,4.361607964155053,5.521708477687762,7.459618546366491,1.0779564035414075,0.0653569464215749,60
V7,37002.68340842652,103985.86281440756,245794.7581239807,76206.18987567579,1911.6413024647918,60,31.82678218688965,57.49525146484375,86.3733885925293,19.64320830388413,0.42569473634229577,60,6.175000000000001,1028.25,2349.575,1025.5212883471056,11.467280512300135,60,2.06884320471034,3.036187801877055,4.442563304502721,0.8490776563935094,0.08195529986605177,60
V8,38923.8785568898,106642.64982998335,248187.54652915968,76959.12873356603,1873.2263819798343,60,32.64566519393921,59.625937515258784,89.39633067016601,20.54382266111106,0.41534993111118407,60,9.9125,1032.5,2332.225,1002.7502799152222,12.553883373061371,60,3.17523472431846,4.16796492746521,5.249090577565213,0.6385022670160297,0.05771911143967115,60
