variant,building_id,weather_key,kpi,param,param_index,mu,mu_star,sigma,n_effects,rank_mu_star
V1,DESHPDHK0000lce9_1,TRY_C,cool_demand_kWh,wwr_factor,0,0.0,0.0,0.0,16,1
V1,DESHPDHK0000lce9_1,TRY_C,cool_demand_kWh,gains_scale,1,0.0,0.0,0.0,17,1
V1,DESHPDHK0000lce9_1,TRY_C,cool_demand_kWh,tset_mean_C,2,0.0,0.0,0.0,16,1
V1,DESHPDHK0000lce9_1,TRY_C,cool_demand_kWh,tset_spread_K,3,0.0,0.0,0.0,16,1
V1,DESHPDHK0000lce9_1,TRY_C,cool_demand_kWh,yoc_shift,4,0.0,0.0,0.0,17,1
V1,DESHPDHK0000lce9_1,TRY_C,cool_demand_kWh,baseACH,5,0.0,0.0,0.0,17,1
V1,DESHPDHK0000lce9_1,TRY_C,cool_demand_kWh,shadingFactor,6,0.0,0.0,0.0,16,1
V1,DESHPDHK0000lce9_1,TRY_C,cool_demand_kWh,gWin,7,0.0,0.0,0.0,17,1
V1,DESHPDHK0000lce9_1,TRY_C,cool_demand_kWh,UWin,8,0.0,0.0,0.0,17,1
V1,DESHPDHK0000lce9_1,TRY_C,cool_demand_kWh,hConWin,9,0.0,0.0,0.0,16,1
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,baseACH,5,32700.03051523226,42623.85082554301,30179.938292318904,17,1
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,yoc_shift,4,-28961.682065862627,28961.682065862624,33528.44511950859,17,2
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,tset_mean_C,2,21740.40886189061,21740.40886189061,1621.711222711563,16,3
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,shadingFactor,6,-15024.189632347163,15024.189632347163,2061.741823081355,16,4
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,gWin,7,-7462.114597444401,11542.023089169072,11004.395818442765,17,5
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,gains_scale,1,-7416.391822799856,7416.391822799856,4183.247252435441,17,6
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,hConWin,9,3399.5313518938474,3399.5313518938474,320.0529674942858,16,7
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,wwr_factor,0,-1952.805947999832,2076.9778203211627,1783.528728379342,16,8
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,UWin,8,1331.578822892663,1331.578822892663,4671.520149467644,17,9
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,tset_spread_K,3,0.0,0.0,0.0,16,10
V1,DESHPDHK0000lce9_1,TRY_C,peak_cool_kW,wwr_factor,0,0.0,0.0,0.0,16,1
V1,DESHPDHK0000lce9_1,TRY_C,peak_cool_kW,gains_scale,1,0.0,0.0,0.0,17,1
V1,DESHPDHK0000lce9_1,TRY_C,peak_cool_kW,tset_mean_C,2,0.0,0.0,0.0,16,1
V1,DESHPDHK0000lce9_1,TRY_C,peak_cool_kW,tset_spread_K,3,0.0,0.0,0.0,16,1
V1,DESHPDHK0000lce9_1,TRY_C,peak_cool_kW,yoc_shift,4,0.0,0.0,0.0,17,1
V1,DESHPDHK0000lce9_1,TRY_C,peak_cool_kW,baseACH,5,0.0,0.0,0.0,17,1
V1,DESHPDHK0000lce9_1,TRY_C,peak_cool_kW,shadingFactor,6,0.0,0.0,0.0,16,1
V1,DESHPDHK0000lce9_1,TRY_C,peak_cool_kW,gWin,7,0.0,0.0,0.0,17,1
V1,DESHPDHK0000lce9_1,TRY_C,peak_cool_kW,UWin,8,0.0,0.0,0.0,17,1
V1,DESHPDHK0000lce9_1,TRY_C,peak_cool_kW,hConWin,9,0.0,0.0,0.0,16,1
V1,DESHPDHK0000lce9_1,TRY_C,peak_heat_kW,baseACH,5,10.885727251838246,11.079856387867652,3.965815035412988,17,1
V1,DESHPDHK0000lce9_1,TRY_C,peak_heat_kW,tset_mean_C,2,4.577550048828128,4.577550048828128,2.9563139790163873,16,2
V1,DESHPDHK0000lce9_1,TRY_C,peak_heat_kW,yoc_shift,4,-3.4314384191176472,3.4314384191176472,5.91028449947462,17,3
V1,DESHPDHK0000lce9_1,TRY_C,peak_heat_kW,wwr_factor,0,1.598186035156246,1.598186035156246,0.5463083931783422,16,4
V1,DESHPDHK0000lce9_1,TRY_C,peak_heat_kW,hConWin,9,1.1644140625000032,1.1644140625000032,0.127590398917132,16,5
V1,DESHPDHK0000lce9_1,TRY_C,peak_heat_kW,gains_scale,1,-0.6838620174632335,0.6838620174632335,1.4574424891965274,17,6
V1,DESHPDHK0000lce9_1,TRY_C,peak_heat_kW,UWin,8,0.4751763556985324,0.4751763556985324,1.9521665900236136,17,7
V1,DESHPDHK0000lce9_1,TRY_C,peak_heat_kW,gWin,7,0.27261603860294314,0.42859719669117385,1.4676499072891178,17,8
V1,DESHPDHK0000lce9_1,TRY_C,peak_heat_kW,shadingFactor,6,-9.155273437810864e-05,9.155273437810864e-05,0.00018456342303530384,16,9
V1,DESHPDHK0000lce9_1,TRY_C,peak_heat_kW,tset_spread_K,3,0.0,0.0,0.0,16,10
V3,DESHPDHK0000lce9_3,TRY_C,cool_demand_kWh,wwr_factor,0,0.0,0.0,0.0,16,1
V3,DESHPDHK0000lce9_3,TRY_C,cool_demand_kWh,gains_scale,1,0.0,0.0,0.0,16,1
V3,DESHPDHK0000lce9_3,TRY_C,cool_demand_kWh,tset_mean_C,2,0.0,0.0,0.0,16,1
V3,DESHPDHK0000lce9_3,TRY_C,cool_demand_kWh,tset_spread_K,3,0.0,0.0,0.0,16,1
