variant,building_id,weather_key,kpi,param,param_index,mu,mu_star,sigma,n_effects,rank_mu_star
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,baseACH,5,32700.03051523226,42623.85082554301,30179.938292318904,17,1
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,baseACH,5,53704.0873785438,53704.0873785438,1364.6729843707024,16,1
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,baseACH,5,59092.05422019282,59092.05422019282,1510.9700701759643,16,1
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,yoc_shift,4,-28961.682065862627,28961.682065862624,33528.44511950859,17,2
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,yoc_shift,4,-27505.349367475228,27505.34936747523,33555.52953645864,16,2
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,yoc_shift,4,-28842.797229060863,28842.797229060863,35557.68179860641,16,2
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,tset_mean_C,2,21740.40886189061,21740.40886189061,1621.711222711563,16,3
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,tset_mean_C,2,25476.194434867102,25476.194434867102,1868.2306071741668,16,3
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,tset_mean_C,2,26098.651094024262,26098.651094024262,1957.3254316886828,16,3
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,shadingFactor,6,-15024.189632347163,15024.189632347163,2061.741823081355,16,4
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,shadingFactor,6,-16161.004317960644,16161.004317960642,2260.2210271922695,16,4
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,shadingFactor,6,-16073.114395690884,16073.114395690882,2289.5562163595246,16,4
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,gains_scale,1,-12172.223941452457,12172.223941452457,1147.4134948027026,16,5
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,gWin,7,-7462.114597444401,11542.023089169072,11004.395818442765,17,5
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,gWin,7,-11083.825521032122,11083.825521032122,2007.7037514533254,16,5
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,gains_scale,1,-7416.391822799856,7416.391822799856,4183.247252435441,17,6
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,gains_scale,1,-6398.298627010572,6398.298627010572,964.2882910463676,16,6
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,gWin,7,-10973.522812049687,10973.522812049687,1960.6938869495234,16,6
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,hConWin,9,3399.5313518938474,3399.5313518938474,320.0529674942858,16,7
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,hConWin,9,3806.5570759527054,3806.5570759527054,337.40269877401,16,7
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,hConWin,9,3616.8680809983653,3616.8680809983653,314.7858729497472,16,7
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,wwr_factor,0,-1952.805947999832,2076.9778203211627,1783.528728379342,16,8
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,wwr_factor,0,-2119.230362088283,2245.8824888743857,2021.5672238672535,16,8
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,wwr_factor,0,-1853.3029581910432,2073.0244187776316,1974.3559872255048,16,8
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,tset_spread_K,3,592.8537944913297,658.7950198908949,552.0629975227056,16,9
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,tset_spread_K,3,507.8744335838656,677.320925410486,667.6934651426395,16,9
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,UWin,8,1331.578822892663,1331.578822892663,4671.520149467644,17,9
V1,DESHPDHK0000lce9_1,TRY_C,heat_demand_kWh,tset_spread_K,3,0.0,0.0,0.0,16,10
V3,DESHPDHK0000lce9_3,TRY_C,heat_demand_kWh,UWin,8,218.04745755608567,218.04745755608565,56.796830051569685,16,10
V5,DESHPDHK0000lce9_5,TRY_C,heat_demand_kWh,UWin,8,216.0194938266068,216.01949382660678,55.412399352369064,16,10
