overall_json,variant,variant_base,building_id,weather_key,trajectory_id,point_id,changed_param,changed_dim,seed,x_unit_0,x_unit_1,x_unit_2,x_unit_3,x_unit_4,x_unit_5,x_unit_6,x_unit_7,x_unit_8,x_unit_9,heat_demand_kWh,cool_demand_kWh,peak_heat_kW,peak_cool_kW,x_unit_10,x_unit_11
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_00/point_00/seed_1000/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,0,0,,,1000,0.6000000000000001,0.2,0.8,0.4,0.2,0.8,0.6000000000000001,0.6000000000000001,0.8,0.4,225720.46811880873,0.0,64.59387109375,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_00/point_01/seed_1000/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,0,1,wwr_factor,0.0,1000,0.8,0.2,0.8,0.4,0.2,0.8,0.6000000000000001,0.6000000000000001,0.8,0.4,225134.97615404107,0.0,64.9539296875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_00/point_02/seed_1000/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,0,2,tset_mean_C,2.0,1000,0.8,0.2,1.0,0.4,0.2,0.8,0.6000000000000001,0.6000000000000001,0.8,0.4,230060.94975508496,0.0,65.46553125,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_00/point_03/seed_1000/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,0,3,UWin,8.0,1000,0.8,0.2,1.0,0.4,0.2,0.8,0.6000000000000001,0.6000000000000001,1.0,0.4,230108.88605548668,0.0,65.46608203125,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_00/point_04/seed_1000/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,0,4,hConWin,9.0,1000,0.8,0.2,1.0,0.4,0.2,0.8,0.6000000000000001,0.6000000000000001,1.0,0.2,229299.22120180703,0.0,65.1959921875,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_00/point_05/seed_1000/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,0,5,shadingFactor,6.0,1000,0.8,0.2,1.0,0.4,0.2,0.8,0.4000000000000001,0.6000000000000001,1.0,0.2,232809.70699614976,0.0,65.196,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_00/point_06/seed_1000/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,0,6,yoc_shift,4.0,1000,0.8,0.2,1.0,0.4,0.0,0.8,0.4000000000000001,0.6000000000000001,1.0,0.2,232809.70699614976,0.0,65.196,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_00/point_07/seed_1000/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,0,7,gains_scale,1.0,1000,0.8,0.0,1.0,0.4,0.0,0.8,0.4000000000000001,0.6000000000000001,1.0,0.2,234045.95689386938,0.0,65.2924375,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_00/point_08/seed_1000/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,0,8,baseACH,5.0,1000,0.8,0.0,1.0,0.4,0.0,0.6000000000000001,0.4000000000000001,0.6000000000000001,1.0,0.2,225652.16628794288,0.0,62.5637265625,0.0,,
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step3_morris/V1/DESHPDHK0000lce9_1/TRY_C/traj_00/point_09/seed_1000/overall.json,V1,V1,DESHPDHK0000lce9_1,TRY_C,0,9,gWin,7.0,1000,0.8,0.0,1.0,0.4,0.0,0.6000000000000001,0.4000000000000001,0.8,1.0,0.2,223486.89976970962,0.0,62.534796875,0.0,,
