variant,building_id,weather_key,seed,kpi,param,param_index,S1,ST,interaction_gap,n_rows,variance,rank_S1,rank_ST
V3,DESHPDHK0000lce9_3,TRY_A,1,overheating_hours,baseACH,0,0.08022021141051924,0.0423496892553869,-0.03787052215513234,128,24259.881372549018,4,4
V3,DESHPDHK0000lce9_3,TRY_A,1,overheating_hours,yoc_shift,1,0.08816478344037618,0.06322633065245013,-0.024938452787926044,128,24259.881372549018,3,3
V3,DESHPDHK0000lce9_3,TRY_A,1,overheating_hours,tset_mean_C,2,0.0009957282819747716,0.0001102965512860153,-0.0008854317306887564,128,24259.881372549018,6,6
V3,DESHPDHK0000lce9_3,TRY_A,1,overheating_hours,shadingFactor,3,0.6347529594059592,0.6461518376125022,0.01139887820654295,127,24259.881372549018,1,1
V3,DESHPDHK0000lce9_3,TRY_A,1,overheating_hours,gWin,4,0.11162397430616407,0.20990625234516327,0.09828227803899921,128,24259.881372549018,2,2
V3,DESHPDHK0000lce9_3,TRY_A,1,overheating_hours,gains_scale,5,0.00982138458721429,0.023627775521549155,0.013806390934334865,128,24259.881372549018,5,5
V3,DESHPDHK0000lce9_3,TRY_B,1,overheating_hours,baseACH,0,0.00029949465199965015,0.008024694940343568,0.007725200288343917,128,443.45533088235294,6,6
V3,DESHPDHK0000lce9_3,TRY_B,1,overheating_hours,yoc_shift,1,0.014569533953159452,0.019801881696918044,0.005232347743758593,128,443.45533088235294,4,4
V3,DESHPDHK0000lce9_3,TRY_B,1,overheating_hours,tset_mean_C,2,0.00909054355481291,0.009319568876930289,0.00022902532211737867,128,443.45533088235294,5,5
V3,DESHPDHK0000lce9_3,TRY_B,1,overheating_hours,shadingFactor,3,0.5417153561374848,0.5222129690925664,-0.019502387044918357,128,443.45533088235294,1,1
V3,DESHPDHK0000lce9_3,TRY_B,1,overheating_hours,gWin,4,0.19507672244659566,0.3549099712858207,0.15983324883922503,128,443.45533088235294,2,2
V3,DESHPDHK0000lce9_3,TRY_B,1,overheating_hours,gains_scale,5,0.033807661011019334,0.028020367294437857,-0.005787293716581477,128,443.45533088235294,3,3
