overall_json,variant,variant_base,building_id,weather_key,seed,block,row_id,mix_col,heat_demand_kWh,cool_demand_kWh,peak_heat_kW,peak_cool_kW
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0000/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,0,,98730.26690666184,0.0,43.84473608398437,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0001/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,1,,125532.18027271067,0.0,55.72068505859375,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0002/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,2,,118036.37122498629,0.0,51.113023193359375,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0003/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,3,,98682.94537872155,0.0,46.00311499023437,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0004/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,4,,83948.6679606665,0.0,40.758077880859375,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0005/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,5,,113141.27119156666,0.0,49.349421875,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0006/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,6,,124141.02987235118,0.0,53.6186689453125,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0007/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,7,,122762.69702698661,0.0,50.76743603515625,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0008/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,8,,121995.18617984091,0.0,49.60854223632813,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0009/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,9,,114106.79695555478,0.0,53.957095703125,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0010/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,10,,115974.7109896226,0.0,48.29487353515625,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0011/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,11,,104920.08202062298,0.0,44.85895166015625,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0012/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,12,,91032.38415769725,0.0,42.006614990234375,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0013/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,13,,135678.0287455393,0.0,55.42325048828125,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0014/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,14,,88936.78986786371,0.0,47.55636108398438,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0015/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,15,,111289.1728321584,0.0,46.67796337890625,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0016/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,16,,87687.11353110558,0.0,42.185403564453125,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0017/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,17,,137526.63214893546,0.0,54.299333984375,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0018/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,18,,98150.25372547407,0.0,48.35329150390625,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0019/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,19,,120278.12509107788,0.0,48.7586171875,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0020/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,20,,97521.20035088623,0.0,41.8847236328125,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0021/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,21,,107786.1377942755,0.0,50.4579130859375,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0022/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,22,,134066.0893337511,0.0,56.20051708984375,0.0
/home/waiz_kv/mza_sensitivity_analysis/results/sa_step4_sobol/V3/DESHPDHK0000lce9_3/TRY_A/seed_1/A/base/row_0023/overall.json,V3,V3,DESHPDHK0000lce9_3,TRY_A,1,A,23,,93478.40877862938,0.0,46.33544140625,0.0
