building_id,n_gt_regions,n_pred_regions,zone_count_diff,false_negatives,false_positives,region_recall,region_precision,topology_correct,n_gt_core_apartment_edges,n_pred_core_apartment_edges,n_missing_core_apartment_edges,n_extra_core_apartment_edges,mean_iou_overall,mean_iou_matched,mean_area_error,mean_centroid_distance,mean_fragmentation,diagnosis
68,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.8412121724677243,0.8412121724677243,12.843733584676416,0.6152736564604945,1.5,Good geometric match
75,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8262744526669709,0.8262744526669709,14.345630240313543,0.4951433680142617,1.6666666666666667,Good geometric match
176,6,8,2,0,2,1.0,0.75,0.0,3,4,0,1,0.6601237462712852,0.6601237462712852,21.509877464829785,1.422363946997132,2.1666666666666665,Over-zoned
179,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8188179845909564,0.8188179845909564,8.299508557961522,0.4725352304735779,1.3333333333333333,Good geometric match
322,8,7,-1,1,0,0.875,1.0,0.0,6,5,1,0,0.6283713594505542,0.7181386965149191,22.27472180876212,1.2575758160556143,1.75,Under-zoned
329,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8385340531210579,0.8385340531210579,19.20131548950895,0.4090491227870945,1.3333333333333333,Good geometric match
405,4,3,-1,1,0,0.75,1.0,0.0,3,2,1,0,0.5615660820571906,0.7487547760762542,31.2172082419866,0.8596754773196998,1.25,Under-zoned
467,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.8206696788273451,0.8206696788273451,10.786022881695098,0.46824781,1.8333333333333333,Good geometric match
553,8,7,-1,1,0,0.875,1.0,0.0,6,5,1,0,0.67342175617827,0.7696248642037373,23.33624931372533,0.8171448439805475,1.75,Under-zoned
696,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8204299731975634,0.8204299731975634,8.230497218344007,0.5199364557731871,2.0,Good geometric match
712,6,7,1,0,1,1.0,0.8571428571428571,1.0,4,4,0,0,0.7173588863958399,0.7173588863958399,13.316583298019294,0.9467795411811816,1.8333333333333333,Over-zoned
721,8,7,-1,1,0,0.875,1.0,0.0,6,5,1,0,0.5739427669147166,0.6559345907596761,11.814517042952518,1.106439054929759,2.375,Under-zoned
803,6,7,1,0,1,1.0,0.8571428571428571,1.0,4,4,0,0,0.7999200651280232,0.7999200651280232,16.496430368801583,0.7722819942291724,1.3333333333333333,Over-zoned
807,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.9322270788602112,0.9322270788602112,7.221004997273826,0.0658600338571785,1.0,Good geometric match
993,6,7,1,0,1,1.0,0.8571428571428571,1.0,4,4,0,0,0.8238913893761987,0.8238913893761987,15.655722249477996,0.8149421496569009,1.5,Over-zoned
1291,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.7083343641021599,0.7083343641021599,8.497737024676105,0.6223600136440783,1.6666666666666667,Good geometric match
1321,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8690795448419149,0.8690795448419149,5.908784038673439,0.3748816674807133,1.6666666666666667,Good geometric match
1361,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.935755665,0.935755665,6.310907822,0.3298541720898934,1.3333333333333333,Good geometric match
1575,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.5743170680941283,0.5743170680941283,7.549737533640214,1.1503051803846278,2.333333333333333,Moderate geometric match
1588,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8814395536234997,0.8814395536234997,11.798000264226076,0.3456848573095216,1.3333333333333333,Good geometric match
1595,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8918031050039996,0.8918031050039996,11.70144764699498,0.3221063053435526,1.3333333333333333,Good geometric match
1601,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.930119296,0.930119296,3.878202686,0.1287182040365005,1.6666666666666667,Good geometric match
1663,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.7689805782476394,0.7689805782476394,26.22605477283909,1.180185052708692,1.3333333333333333,Good geometric match
1686,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.9585098419139187,0.9585098419139187,4.181517658716575,0.053334192,1.0,Good geometric match
1712,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8854727085173199,0.8854727085173199,12.540361798786623,0.3161253963798391,1.3333333333333333,Good geometric match
1728,4,4,0,0,0,1.0,1.0,1.0,3,3,0,0,0.6651430688258166,0.6651430688258166,18.005768828389236,0.8744521918335897,2.25,Moderate geometric match
1817,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.7532527365539222,0.7532527365539222,11.362115733145144,0.6498078429161154,2.0,Good geometric match
1827,6,7,1,1,2,0.8333333333333334,0.7142857142857143,0.0,4,2,2,0,0.5793770884774295,0.6952525061729153,22.247300202679472,1.220832705865556,1.8333333333333333,Over-zoned
1925,3,3,0,1,1,0.6666666666666666,0.6666666666666666,0.0,2,0,2,0,0.5709930195859093,0.8564895293788639,10.66112608374127,0.6147345076743893,1.3333333333333333,Structural mismatch
1934,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8351561823859185,0.8351561823859185,18.089041094684145,0.4732979370174159,1.3333333333333333,Good geometric match
1943,4,5,1,0,1,1.0,0.8,1.0,3,3,0,0,0.5610227338578719,0.5610227338578719,25.491464862375867,2.037802609558808,2.0,Over-zoned
1953,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.836322461,0.836322461,17.487125327042826,0.3153036934234365,1.3333333333333333,Good geometric match
1976,4,7,3,0,3,1.0,0.5714285714285714,0.0,3,1,2,0,0.6021431918407201,0.6021431918407201,35.655273339921266,1.7459357061930325,2.25,Over-zoned
1996,6,6,0,0,0,1.0,1.0,1.0,4,4,0,0,0.9110791538829344,0.9110791538829344,6.449603474356407,0.2866971921178454,1.3333333333333333,Good geometric match
2018,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.9058053288112086,0.9058053288112086,8.014462334878298,0.1673942623447123,1.6666666666666667,Good geometric match
2030,3,3,0,1,1,0.6666666666666666,0.6666666666666666,0.0,2,0,2,0,0.5474418961700586,0.8211628442550878,18.311774362265908,0.7518420177946946,1.6666666666666667,Structural mismatch
2049,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8865432091610178,0.8865432091610178,7.217873080209181,0.3608346543912035,1.6666666666666667,Good geometric match
2136,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.6133058040519346,0.6133058040519346,17.79187434411133,1.0633339200650338,2.0,Moderate geometric match
2244,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8665141205372212,0.8665141205372212,9.432985823700298,0.2303125251520436,1.3333333333333333,Good geometric match
2389,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.8342807849195278,0.8342807849195278,17.68028726544857,0.3872544078472996,1.3333333333333333,Good geometric match
2401,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.6787241363260436,0.6787241363260436,26.717926709273456,0.7683760404421566,1.6666666666666667,Moderate geometric match
2410,3,3,0,0,0,1.0,1.0,1.0,2,2,0,0,0.6818746203517642,0.6818746203517642,26.272859460353768,0.7630438798605338,1.6666666666666667,Moderate geometric match
